GENE,CDSLEN,CHROM,START,STOP,STRAND,HOMOLOG,PERCENTID,ALNLEN
Afu1g00610,1812,Chr1_A_fumigatus_Af293,195962,198161,+,AFUB_083550,99.42,689
Afu1g00620,1242,Chr1_A_fumigatus_Af293,197348,198658,-,AFUB_083550,100.00,89
Afu1g00630,3018,Chr1_A_fumigatus_Af293,199230,202418,+,AFUB_001480,64.56,539
Afu1g00640,1110,Chr1_A_fumigatus_Af293,210663,211854,-,NONE,0,0
Afu1g00650,1374,Chr1_A_fumigatus_Af293,215584,217006,+,AFUB_098010,76.76,1308
Afu1g00660,1200,Chr1_A_fumigatus_Af293,218161,219429,+,NONE,0,0
Afu1g00670,216,Chr1_A_fumigatus_Af293,221860,222075,-,NONE,0,0
Afu1g00680,873,Chr1_A_fumigatus_Af293,226527,229118,+,NONE,0,0
Afu1g00690,330,Chr1_A_fumigatus_Af293,237383,237712,-,NONE,0,0
Afu1g00700,4089,Chr1_A_fumigatus_Af293,238508,243054,+,NONE,0,0
Afu1g00710,543,Chr1_A_fumigatus_Af293,243738,244896,-,NONE,0,0
Afu1g00720,579,Chr1_A_fumigatus_Af293,246875,247620,-,NONE,0,0
Afu1g00730,1644,Chr1_A_fumigatus_Af293,249319,251350,+,AFUB_015010,75.08,959
Afu1g00740,1020,Chr1_A_fumigatus_Af293,258432,259498,-,NONE,0,0
Afu1g00750,1617,Chr1_A_fumigatus_Af293,268868,270616,-,AFUB_075300,93.63,1617
Afu1g00760,357,Chr1_A_fumigatus_Af293,271231,271587,-,AFUB_075310,97.76,357
Afu1g00770,561,Chr1_A_fumigatus_Af293,274858,275465,+,AFUB_096610,89.85,335
Afu1g00780,648,Chr1_A_fumigatus_Af293,277013,277941,+,NONE,0,0
Afu1g00790,4251,Chr1_A_fumigatus_Af293,287037,291287,-,NONE,0,0
Afu1g00800,1182,Chr1_A_fumigatus_Af293,296636,297872,+,NONE,0,0
Afu1g00810,804,Chr1_A_fumigatus_Af293,306044,306847,-,AFUB_063750,77.60,558
Afu1g00820,582,Chr1_A_fumigatus_Af293,307828,308409,-,NONE,0,0
Afu1g00830,348,Chr1_A_fumigatus_Af293,309461,309808,+,NONE,0,0
Afu1g00840,1899,Chr1_A_fumigatus_Af293,310237,313087,+,NONE,0,0
Afu1g00850,573,Chr1_A_fumigatus_Af293,315349,315947,+,AFUB_097990,62.89,291
Afu1g00880,3378,Chr1_A_fumigatus_Af293,318305,321716,-,NONE,0,0
Afu1g00890,2697,Chr1_A_fumigatus_Af293,325118,328217,-,NONE,0,0
Afu1g00910,1404,Chr1_A_fumigatus_Af293,328785,330274,+,AFUB_097980,75.67,1389
Afu1g00920,1089,Chr1_A_fumigatus_Af293,331676,332955,-,AFUB_048620,91.17,759
Afu1g00930,1035,Chr1_A_fumigatus_Af293,333683,334717,+,NONE,0,0
Afu1g00940,1065,Chr1_A_fumigatus_Af293,335152,336216,-,NONE,0,0
Afu1g00950,978,Chr1_A_fumigatus_Af293,336865,337907,+,NONE,0,0
Afu1g00960,3864,Chr1_A_fumigatus_Af293,338106,342000,+,NONE,0,0
Afu1g00970,1305,Chr1_A_fumigatus_Af293,342453,344153,-,AFUB_046220,57.04,1066
Afu1g00980,1491,Chr1_A_fumigatus_Af293,344953,346714,-,NONE,0,0
Afu1g00990,786,Chr1_A_fumigatus_Af293,347632,348512,-,NONE,0,0
Afu1g01000,1158,Chr1_A_fumigatus_Af293,349732,351003,-,NONE,0,0
Afu1g01010,6297,Chr1_A_fumigatus_Af293,352044,358955,+,AFUB_045640,57.70,825
Afu1g01020,4578,Chr1_A_fumigatus_Af293,370902,375565,-,AFUB_081770,58.77,895
Afu1g01030,4317,Chr1_A_fumigatus_Af293,377390,382156,+,NONE,0,0
Afu1g01040,951,Chr1_A_fumigatus_Af293,382400,383350,-,AFUB_079240,62.93,259
Afu1g01050,891,Chr1_A_fumigatus_Af293,385302,386244,-,AFUB_001920,87.43,358
Afu1g01070,420,Chr1_A_fumigatus_Af293,390761,391294,-,NONE,0,0
Afu1g01080,462,Chr1_A_fumigatus_Af293,391423,391941,-,NONE,0,0
Afu1g01090,924,Chr1_A_fumigatus_Af293,392457,393602,-,NONE,0,0
Afu1g01100,723,Chr1_A_fumigatus_Af293,394863,395585,-,AFUB_079700,100.00,677
Afu1g01110,633,Chr1_A_fumigatus_Af293,400777,401591,+,AFUB_079690,100.00,633
Afu1g01120,705,Chr1_A_fumigatus_Af293,402536,403635,-,AFUB_079680,99.43,705
Afu1g01130,780,Chr1_A_fumigatus_Af293,404756,405535,+,AFUB_079670,99.69,654
Afu1g01140,759,Chr1_A_fumigatus_Af293,405928,406686,-,AFUB_079660,99.87,759
Afu1g01160,1761,Chr1_A_fumigatus_Af293,406882,408853,-,AFUB_079650,86.46,1499
Afu1g01170,885,Chr1_A_fumigatus_Af293,410235,411132,+,AFUB_079640,99.89,885
Afu1g01175,387,Chr1_A_fumigatus_Af293,411327,412123,-,AFUB_079630,100.00,382
Afu1g01180,1692,Chr1_A_fumigatus_Af293,412395,415891,-,AFUB_079620,99.94,1692
Afu1g01190,1134,Chr1_A_fumigatus_Af293,415899,418697,+,AFUB_079610,99.73,1125
Afu1g01200,1221,Chr1_A_fumigatus_Af293,419161,420433,+,AFUB_079600,99.84,1221
Afu1g01210,456,Chr1_A_fumigatus_Af293,420901,421404,-,AFUB_079590,100.00,456
Afu1g01220,1200,Chr1_A_fumigatus_Af293,421825,423074,+,AFUB_079580,99.92,1200
Afu1g01230,1596,Chr1_A_fumigatus_Af293,423561,425420,+,AFUB_079570,100.00,1596
Afu1g01240,2439,Chr1_A_fumigatus_Af293,426187,428733,+,AFUB_079560,99.96,2439
Afu1g01250,1692,Chr1_A_fumigatus_Af293,428894,430700,-,AFUB_079550,99.94,1692
Afu1g01260,1581,Chr1_A_fumigatus_Af293,431056,433093,+,AFUB_079540,99.81,1581
Afu1g01265,489,Chr1_A_fumigatus_Af293,434914,436188,+,AFUB_079530,100.00,489
Afu1g01270,1650,Chr1_A_fumigatus_Af293,436429,438168,+,AFUB_079520,96.67,1561
Afu1g01290,1002,Chr1_A_fumigatus_Af293,438179,439472,-,AFUB_079500,98.48,132
Afu1g01280,1023,Chr1_A_fumigatus_Af293,439336,440421,+,AFUB_079500,99.12,1023
Afu1g01300,1197,Chr1_A_fumigatus_Af293,441786,443040,+,AFUB_079490,99.92,1197
Afu1g01310,1482,Chr1_A_fumigatus_Af293,443051,444743,-,AFUB_079480,99.87,1482
Afu1g01320,1467,Chr1_A_fumigatus_Af293,444989,446455,-,AFUB_079470,99.80,1467
Afu1g01330,786,Chr1_A_fumigatus_Af293,446742,448029,-,AFUB_079460,99.75,786
Afu1g01340,1500,Chr1_A_fumigatus_Af293,448198,449748,+,AFUB_079450,99.87,1500
Afu1g01350,621,Chr1_A_fumigatus_Af293,450255,450941,+,AFUB_079440,100.00,621
Afu1g01360,726,Chr1_A_fumigatus_Af293,451136,451861,-,AFUB_079430,99.72,726
Afu1g01370,669,Chr1_A_fumigatus_Af293,452052,452773,-,AFUB_079420,99.25,669
Afu1g01380,915,Chr1_A_fumigatus_Af293,453032,453946,-,AFUB_079410,99.89,915
Afu1g01390,1185,Chr1_A_fumigatus_Af293,454910,456094,-,AFUB_079400,100.00,1185
Afu1g01400,201,Chr1_A_fumigatus_Af293,456376,456576,+,AFUB_079390,100.00,201
Afu1g01410,1545,Chr1_A_fumigatus_Af293,457495,459374,+,AFUB_079380,99.41,340
Afu1g01420,1494,Chr1_A_fumigatus_Af293,460988,462481,-,AFUB_079360,99.73,1494
Afu1g01430,1635,Chr1_A_fumigatus_Af293,463084,464962,-,AFUB_079350,99.88,1635
Afu1g01440,195,Chr1_A_fumigatus_Af293,465834,466069,+,AFUB_079340,100.00,195
Afu1g01450,1266,Chr1_A_fumigatus_Af293,467133,468547,+,AFUB_079330,98.11,1267
Afu1g01460,804,Chr1_A_fumigatus_Af293,468861,470323,-,AFUB_079320,99.63,804
Afu1g01480,1560,Chr1_A_fumigatus_Af293,471047,474848,-,AFUB_088060,57.08,1172
Afu1g01490,5976,Chr1_A_fumigatus_Af293,474895,482069,+,AFUB_079300,99.95,5976
Afu1g01500,567,Chr1_A_fumigatus_Af293,482195,482934,+,AFUB_079290,100.00,567
Afu1g01520,543,Chr1_A_fumigatus_Af293,483125,484978,-,AFUB_079280,100.00,543
Afu1g01530,804,Chr1_A_fumigatus_Af293,485169,486696,+,AFUB_079270,99.83,585
Afu1g01540,1320,Chr1_A_fumigatus_Af293,486857,488384,-,AFUB_079260,99.39,1320
Afu1g01550,1080,Chr1_A_fumigatus_Af293,489006,491838,-,AFUB_079250,99.44,1080
Afu1g01560,1503,Chr1_A_fumigatus_Af293,492223,494504,+,AFUB_001960,99.67,1503
Afu1g01570,1098,Chr1_A_fumigatus_Af293,494505,496602,-,AFUB_001970,99.64,1101
Afu1g01580,156,Chr1_A_fumigatus_Af293,497181,497336,+,AFUB_001980,100.00,156
Afu1g01590,2517,Chr1_A_fumigatus_Af293,497339,500252,-,AFUB_001990,99.84,2517
Afu1g01600,1761,Chr1_A_fumigatus_Af293,500803,502930,-,AFUB_002000,99.94,1761
Afu1g01610,1014,Chr1_A_fumigatus_Af293,503947,504960,+,AFUB_002010,100.00,1014
Afu1g01620,2319,Chr1_A_fumigatus_Af293,506341,509276,+,AFUB_002020,99.22,2319
Afu1g01630,1080,Chr1_A_fumigatus_Af293,510075,511213,-,AFUB_002030,99.72,1080
Afu1g01640,1374,Chr1_A_fumigatus_Af293,511963,513336,+,AFUB_002040,99.93,1374
Afu1g01650,1239,Chr1_A_fumigatus_Af293,513915,515287,+,AFUB_002050,99.60,1239
Afu1g01660,2031,Chr1_A_fumigatus_Af293,515889,517971,+,AFUB_002060,99.36,2031
Afu1g01670,1401,Chr1_A_fumigatus_Af293,518024,519577,+,AFUB_002070,99.07,1401
Afu1g01680,1140,Chr1_A_fumigatus_Af293,520194,521400,+,AFUB_002080,99.65,1140
Afu1g01690,1539,Chr1_A_fumigatus_Af293,521420,523981,-,AFUB_002090,99.68,1539
Afu1g01700,3135,Chr1_A_fumigatus_Af293,524155,527369,-,AFUB_002100,99.20,3135
Afu1g01710,153,Chr1_A_fumigatus_Af293,527644,527919,+,AFUB_002110,98.69,153
Afu1g01720,3498,Chr1_A_fumigatus_Af293,528067,531564,-,AFUB_002120,99.70,2984
Afu1g01730,1374,Chr1_A_fumigatus_Af293,532930,535122,-,AFUB_002130,99.42,1374
Afu1g01740,1596,Chr1_A_fumigatus_Af293,536273,538318,-,AFUB_002140,99.23,1553
Afu1g01750,1887,Chr1_A_fumigatus_Af293,538463,540471,+,AFUB_002150,99.42,1887
Afu1g01760,885,Chr1_A_fumigatus_Af293,541112,542746,-,AFUB_002160,99.77,885
Afu1g01770,855,Chr1_A_fumigatus_Af293,543902,544870,+,AFUB_002170,99.06,855
Afu1g01780,1026,Chr1_A_fumigatus_Af293,545310,546460,+,AFUB_002180,99.71,1026
Afu1g01790,666,Chr1_A_fumigatus_Af293,546741,547406,+,AFUB_002190,99.10,666
Afu1g01812,1536,Chr1_A_fumigatus_Af293,547679,549975,-,AFUB_002200,98.60,1075
Afu1g01820,1278,Chr1_A_fumigatus_Af293,550560,552319,-,AFUB_002220,98.51,1278
Afu1g01830,984,Chr1_A_fumigatus_Af293,553142,554202,+,AFUB_002230,99.39,984
Afu1g01850,2520,Chr1_A_fumigatus_Af293,554338,557654,-,AFUB_002240,99.05,2520
Afu1g01860,741,Chr1_A_fumigatus_Af293,557857,559394,+,AFUB_002250,98.89,633
Afu1g01870,744,Chr1_A_fumigatus_Af293,559515,560599,+,AFUB_002260,99.73,744
Afu1g01890,948,Chr1_A_fumigatus_Af293,560926,562298,-,AFUB_002270,99.37,948
Afu1g01900,747,Chr1_A_fumigatus_Af293,562330,563353,-,AFUB_002280,99.60,252
Afu1g01910,1281,Chr1_A_fumigatus_Af293,564445,565725,+,AFUB_002290,99.92,1281
Afu1g01920,912,Chr1_A_fumigatus_Af293,568120,569945,+,AFUB_002300,99.66,878
Afu1g01930,1578,Chr1_A_fumigatus_Af293,570738,572914,+,AFUB_002310,99.62,1572
Afu1g01940,1101,Chr1_A_fumigatus_Af293,573010,574947,+,AFUB_002320,99.03,1026
Afu1g01950,405,Chr1_A_fumigatus_Af293,577211,578092,+,AFUB_002330,100.00,405
Afu1g01960,1185,Chr1_A_fumigatus_Af293,578684,583140,-,AFUB_002340,99.92,1185
Afu1g01970,1071,Chr1_A_fumigatus_Af293,584790,588649,+,AFUB_002350,99.91,1071
Afu1g01980,549,Chr1_A_fumigatus_Af293,589024,590269,+,AFUB_002360,99.82,549
Afu1g01990,1548,Chr1_A_fumigatus_Af293,590274,592166,-,AFUB_002370,100.00,1548
Afu1g02000,2520,Chr1_A_fumigatus_Af293,592338,595223,+,AFUB_002380,99.84,2523
Afu1g02010,2367,Chr1_A_fumigatus_Af293,595470,598510,-,AFUB_002390,100.00,2367
Afu1g02020,855,Chr1_A_fumigatus_Af293,598541,600492,-,AFUB_002400,99.77,855
Afu1g02030,2223,Chr1_A_fumigatus_Af293,600493,603263,+,AFUB_002410,99.96,2223
Afu1g02040,789,Chr1_A_fumigatus_Af293,603587,604435,-,AFUB_002420,100.00,789
Afu1g02050,2661,Chr1_A_fumigatus_Af293,604820,608263,-,AFUB_002430,100.00,2661
Afu1g02060,1368,Chr1_A_fumigatus_Af293,608894,610635,+,AFUB_002440,99.21,757
Afu1g02070,960,Chr1_A_fumigatus_Af293,611102,612423,+,AFUB_002450,100.00,960
Afu1g02080,1170,Chr1_A_fumigatus_Af293,612886,614055,-,AFUB_002460,99.91,1170
Afu1g02090,1026,Chr1_A_fumigatus_Af293,614347,615770,-,AFUB_002470,100.00,1026
Afu1g02100,3606,Chr1_A_fumigatus_Af293,616953,621318,+,AFUB_002480,99.94,3606
Afu1g02110,1131,Chr1_A_fumigatus_Af293,621945,623264,+,AFUB_002490,100.00,1131
Afu1g02120,2127,Chr1_A_fumigatus_Af293,624468,626594,-,AFUB_002500,99.86,2127
Afu1g02130,2508,Chr1_A_fumigatus_Af293,629243,631922,-,AFUB_002510,99.96,2508
Afu1g02140,4839,Chr1_A_fumigatus_Af293,632299,637193,-,AFUB_002520,99.96,4839
Afu1g02150,1560,Chr1_A_fumigatus_Af293,637736,639645,-,AFUB_002530,99.94,1560
Afu1g02160,702,Chr1_A_fumigatus_Af293,639720,640774,+,AFUB_002540,100.00,702
Afu1g02170,1917,Chr1_A_fumigatus_Af293,641329,643533,+,AFUB_002550,99.95,1917
Afu1g02180,3672,Chr1_A_fumigatus_Af293,643801,648235,-,AFUB_002560,99.55,2656
Afu1g02190,633,Chr1_A_fumigatus_Af293,648313,650240,+,AFUB_002570,99.34,608
Afu1g02200,1074,Chr1_A_fumigatus_Af293,650672,652344,-,AFUB_002580,100.00,1074
Afu1g02210,1071,Chr1_A_fumigatus_Af293,652438,653986,-,AFUB_002590,100.00,1071
Afu1g02220,312,Chr1_A_fumigatus_Af293,654913,655481,+,AFUB_002600,99.68,312
Afu1g02230,480,Chr1_A_fumigatus_Af293,655707,657411,-,AFUB_002610,99.79,480
Afu1g02240,759,Chr1_A_fumigatus_Af293,657846,658664,-,AFUB_002620,99.87,759
Afu1g02250,660,Chr1_A_fumigatus_Af293,659966,660693,+,AFUB_002630,100.00,660
Afu1g02255,567,Chr1_A_fumigatus_Af293,661446,662079,+,AFUB_002640,99.82,567
Afu1g02260,471,Chr1_A_fumigatus_Af293,662922,663500,+,AFUB_002650,100.00,471
Afu1g02270,2343,Chr1_A_fumigatus_Af293,663569,666776,-,AFUB_002660,100.00,2343
Afu1g02280,2115,Chr1_A_fumigatus_Af293,667288,669402,+,AFUB_002670,99.95,2115
Afu1g02290,321,Chr1_A_fumigatus_Af293,669646,670312,-,AFUB_002680,100.00,321
Afu1g02300,330,Chr1_A_fumigatus_Af293,675170,675595,+,AFUB_002690,96.17,183
Afu1g02310,678,Chr1_A_fumigatus_Af293,675909,677389,-,AFUB_002700,99.26,678
Afu1g02320,780,Chr1_A_fumigatus_Af293,678245,679078,+,AFUB_002710,99.28,690
Afu1g02330,915,Chr1_A_fumigatus_Af293,679650,681430,-,AFUB_002720,99.78,915
Afu1g02340,1335,Chr1_A_fumigatus_Af293,682116,683450,+,AFUB_002730,99.63,1335
Afu1g02360,2160,Chr1_A_fumigatus_Af293,685901,688813,-,AFUB_002740,99.54,1737
Afu1g02350,1608,Chr1_A_fumigatus_Af293,689570,692145,+,AFUB_002750,99.75,1608
Afu1g02370,888,Chr1_A_fumigatus_Af293,693008,694440,-,AFUB_002760,99.77,888
Afu1g02380,357,Chr1_A_fumigatus_Af293,694589,695517,+,AFUB_002770,100.00,357
Afu1g02390,1506,Chr1_A_fumigatus_Af293,696676,698632,+,AFUB_002780,99.06,1488
Afu1g02400,2634,Chr1_A_fumigatus_Af293,698938,701571,-,AFUB_002790,97.78,1487
Afu1g02410,1410,Chr1_A_fumigatus_Af293,701980,703574,+,AFUB_002800,99.50,1410
Afu1g02420,1368,Chr1_A_fumigatus_Af293,703908,705275,-,AFUB_002810,99.63,1368
Afu1g02430,1188,Chr1_A_fumigatus_Af293,705463,707644,+,AFUB_002820,99.65,1155
Afu1g02440,861,Chr1_A_fumigatus_Af293,707695,708555,+,AFUB_002830,99.54,864
Afu1g02450,1767,Chr1_A_fumigatus_Af293,709543,711499,+,AFUB_002840,99.66,1767
Afu1g02460,3666,Chr1_A_fumigatus_Af293,711801,715716,-,AFUB_002850,99.83,3539
Afu1g02480,2880,Chr1_A_fumigatus_Af293,716051,720223,-,AFUB_041460,58.92,1860
Afu1g02490,1401,Chr1_A_fumigatus_Af293,720313,722724,+,AFUB_002870,98.61,863
Afu1g02500,1626,Chr1_A_fumigatus_Af293,722802,724693,-,AFUB_002880,100.00,1626
Afu1g02510,3057,Chr1_A_fumigatus_Af293,724835,735836,-,AFUB_002890,99.87,3057
Afu1g02520,252,Chr1_A_fumigatus_Af293,736092,736440,+,AFUB_002900,100.00,252
Afu1g02530,1521,Chr1_A_fumigatus_Af293,736825,739008,+,AFUB_002910,99.93,1512
Afu1g02540,3768,Chr1_A_fumigatus_Af293,739433,744026,-,AFUB_002920,99.95,3741
Afu1g02550,1347,Chr1_A_fumigatus_Af293,744134,746706,-,AFUB_002930,100.00,1347
Afu1g02560,762,Chr1_A_fumigatus_Af293,746813,748117,+,AFUB_002940,100.00,762
Afu1g02570,2844,Chr1_A_fumigatus_Af293,748596,751940,-,AFUB_002950,100.00,2844
Afu1g02580,1020,Chr1_A_fumigatus_Af293,752149,754061,+,AFUB_002960,99.90,1020
Afu1g02590,2142,Chr1_A_fumigatus_Af293,754354,757409,-,AFUB_002970,99.81,2142
Afu1g02600,759,Chr1_A_fumigatus_Af293,757554,760572,-,AFUB_002980,100.00,759
Afu1g02610,978,Chr1_A_fumigatus_Af293,761830,763190,+,AFUB_002990,99.69,978
Afu1g02620,468,Chr1_A_fumigatus_Af293,763378,763989,-,AFUB_003000,99.79,468
Afu1g02630,1629,Chr1_A_fumigatus_Af293,764137,766009,+,AFUB_003010,100.00,1629
Afu1g02640,1131,Chr1_A_fumigatus_Af293,768205,769408,-,AFUB_003040,100.00,1131
Afu1g02650,1548,Chr1_A_fumigatus_Af293,769847,771547,-,AFUB_003050,99.94,1548
Afu1g02660,1137,Chr1_A_fumigatus_Af293,772134,773463,-,AFUB_003060,99.50,807
Afu1g02670,963,Chr1_A_fumigatus_Af293,774903,776882,-,AFUB_003070,100.00,963
Afu1g02680,2877,Chr1_A_fumigatus_Af293,777142,780934,+,AFUB_003080,100.00,738
Afu1g02700,1245,Chr1_A_fumigatus_Af293,780968,783001,-,AFUB_003090,100.00,1245
Afu1g02710,1398,Chr1_A_fumigatus_Af293,783123,784990,+,AFUB_003100,99.93,1398
Afu1g02720,807,Chr1_A_fumigatus_Af293,785212,786319,-,AFUB_003110,100.00,807
Afu1g02730,942,Chr1_A_fumigatus_Af293,787162,789684,-,AFUB_003120,99.58,942
Afu1g02740,1188,Chr1_A_fumigatus_Af293,790042,791488,-,AFUB_003130,100.00,1188
Afu1g02750,531,Chr1_A_fumigatus_Af293,791703,793027,+,AFUB_003140,99.62,531
Afu1g02760,2271,Chr1_A_fumigatus_Af293,793139,798846,+,AFUB_003150,99.91,2271
Afu1g02770,987,Chr1_A_fumigatus_Af293,800203,801369,+,AFUB_003160,100.00,987
Afu1g02780,1140,Chr1_A_fumigatus_Af293,801902,803819,+,AFUB_003170,100.00,1140
Afu1g02800,1116,Chr1_A_fumigatus_Af293,803957,807606,-,AFUB_003180,100.00,92
Afu1g02810,765,Chr1_A_fumigatus_Af293,807797,808895,+,AFUB_003190,100.00,765
Afu1g02820,612,Chr1_A_fumigatus_Af293,809383,810946,+,AFUB_003200,99.84,612
Afu1g02830,1959,Chr1_A_fumigatus_Af293,811213,814010,+,AFUB_003210,99.64,1959
Afu1g02840,2235,Chr1_A_fumigatus_Af293,814024,817328,-,AFUB_003220,99.15,2247
Afu1g02850,798,Chr1_A_fumigatus_Af293,817719,818861,+,AFUB_003230,99.37,798
Afu1g02860,825,Chr1_A_fumigatus_Af293,820017,821490,+,AFUB_003240,99.39,825
Afu1g02870,1515,Chr1_A_fumigatus_Af293,821550,825521,-,AFUB_003250,99.33,1201
Afu1g02880,1095,Chr1_A_fumigatus_Af293,828118,829830,-,AFUB_003260,99.82,1095
Afu1g02890,753,Chr1_A_fumigatus_Af293,829952,830818,+,AFUB_003270,99.87,753
Afu1g02900,1071,Chr1_A_fumigatus_Af293,830977,832970,-,AFUB_003280,99.53,1071
Afu1g02910,1182,Chr1_A_fumigatus_Af293,833684,834865,+,AFUB_003290,99.57,1155
Afu1g02920,2352,Chr1_A_fumigatus_Af293,835070,838142,-,AFUB_003300,99.45,2352
Afu1g02930,894,Chr1_A_fumigatus_Af293,839424,840797,+,AFUB_003310,99.89,894
Afu1g02940,1341,Chr1_A_fumigatus_Af293,840826,842768,+,AFUB_003320,99.63,1341
Afu1g02950,1278,Chr1_A_fumigatus_Af293,843296,844729,-,AFUB_003330,99.45,1278
Afu1g02960,264,Chr1_A_fumigatus_Af293,844886,846627,-,AFUB_003340,100.00,229
Afu1g02970,1284,Chr1_A_fumigatus_Af293,846761,849608,-,AFUB_003350,100.00,1284
Afu1g02980,798,Chr1_A_fumigatus_Af293,851746,856056,+,AFUB_003360,99.87,798
Afu1g02985,1827,Chr1_A_fumigatus_Af293,856246,858170,+,AFUB_003370,99.41,1701
Afu1g02990,3366,Chr1_A_fumigatus_Af293,859947,863871,+,AFUB_003380,99.88,3304
Afu1g03000,1674,Chr1_A_fumigatus_Af293,864134,866082,+,AFUB_003390,99.88,1674
Afu1g03010,2646,Chr1_A_fumigatus_Af293,866374,869019,-,AFUB_003400,100.00,2646
Afu1g03020,240,Chr1_A_fumigatus_Af293,869373,869671,+,AFUB_003410,100.00,240
Afu1g03030,3318,Chr1_A_fumigatus_Af293,870607,874638,+,AFUB_003420,99.91,3318
Afu1g03035,732,Chr1_A_fumigatus_Af293,875093,875824,-,AFUB_003430,99.86,732
Afu1g03040,549,Chr1_A_fumigatus_Af293,876704,877527,-,AFUB_003440,100.00,549
Afu1g03050,3306,Chr1_A_fumigatus_Af293,878846,882246,+,AFUB_003450,100.00,3306
Afu1g03060,969,Chr1_A_fumigatus_Af293,882423,883672,+,AFUB_003460,100.00,858
