QNAME,LENGTH,CHROM,START,STOP,STRAND
Afu3g02640,900,Chr3_A_fumigatus_Af293,668464,669413,+
Afu3g02650,948,Chr3_A_fumigatus_Af293,671969,673246,+
Afu3g03090,1152,Chr3_A_fumigatus_Af293,832252,833403,-
Afu3g03340,342,Chr3_A_fumigatus_Af293,891335,892127,+
Afu3g03515,1101,Chr3_A_fumigatus_Af293,939547,941250,+
Afu3g03690,681,Chr3_A_fumigatus_Af293,996176,996856,+
Afu3g03695,630,Chr3_A_fumigatus_Af293,997798,999055,+
Afu3g04100,285,Chr3_A_fumigatus_Af293,1161730,1162014,-
Afu3g04180,804,Chr3_A_fumigatus_Af293,1177325,1178361,-
Afu3g04270,252,Chr3_A_fumigatus_Af293,1210791,1216049,+
Afu3g04290,456,Chr3_A_fumigatus_Af293,1217738,1220395,+
Afu3g04320,1746,Chr3_A_fumigatus_Af293,1251235,1254037,-
Afu3g05620,618,Chr3_A_fumigatus_Af293,1365089,1365824,+
Afu3g06160,753,Chr3_A_fumigatus_Af293,1523105,1524006,-
Afu3g06810,1413,Chr3_A_fumigatus_Af293,1696665,1698164,+
Afu3g08570,1797,Chr3_A_fumigatus_Af293,2196260,2199940,-
Afu3g09410,600,Chr3_A_fumigatus_Af293,2394786,2397410,-
Afu3g09420,309,Chr3_A_fumigatus_Af293,2398269,2399246,-
Afu3g09430,3822,Chr3_A_fumigatus_Af293,2399760,2403581,-
Afu3g09490,444,Chr3_A_fumigatus_Af293,2414406,2414909,+
Afu3g10430,1632,Chr3_A_fumigatus_Af293,2700766,2702461,-
Afu3g11000,3540,Chr3_A_fumigatus_Af293,2864668,2869166,+
Afu3g12540,1650,Chr3_A_fumigatus_Af293,3322033,3323741,+
Afu3g13755,330,Chr3_A_fumigatus_Af293,3629641,3630850,-
Afu3g13860,1536,Chr3_A_fumigatus_Af293,3670718,3672594,+
Afu4g00270,1671,Chr4_A_fumigatus_Af293,76126,77796,-
Afu4g00780,1650,Chr4_A_fumigatus_Af293,210315,212023,+
Afu4g00820,2064,Chr4_A_fumigatus_Af293,219341,221404,-
Afu4g00840,750,Chr4_A_fumigatus_Af293,226211,227013,-
Afu4g00850,429,Chr4_A_fumigatus_Af293,228109,228584,-
Afu4g01285,324,Chr4_A_fumigatus_Af293,341046,342241,+
Afu4g01555,837,Chr4_A_fumigatus_Af293,410011,412227,+
Afu4g02610,672,Chr4_A_fumigatus_Af293,714995,715666,+
Afu4g02620,699,Chr4_A_fumigatus_Af293,715939,716730,+
Afu4g02630,1122,Chr4_A_fumigatus_Af293,716920,719754,+
Afu4g02640,3822,Chr4_A_fumigatus_Af293,721531,725352,+
Afu4g02690,660,Chr4_A_fumigatus_Af293,741936,742965,+
Afu4g02802,519,Chr4_A_fumigatus_Af293,782299,783152,-
Afu4g03300,570,Chr4_A_fumigatus_Af293,937437,938052,+
Afu4g04715,405,Chr4_A_fumigatus_Af293,1327776,1328935,-
Afu4g06450,1554,Chr4_A_fumigatus_Af293,1648193,1649879,+
Afu4g07725,378,Chr4_A_fumigatus_Af293,2021333,2022259,+
Afu4g09390,1467,Chr4_A_fumigatus_Af293,2457595,2459061,-
Afu4g09400,1917,Chr4_A_fumigatus_Af293,2460646,2463172,+
Afu4g13625,444,Chr4_A_fumigatus_Af293,3562897,3563840,-
Afu4g14310,825,Chr4_A_fumigatus_Af293,3767463,3768351,+
Afu4g14350,1737,Chr4_A_fumigatus_Af293,3774204,3776187,-
Afu4g14370,678,Chr4_A_fumigatus_Af293,3791486,3792163,-
Afu4g14390,1659,Chr4_A_fumigatus_Af293,3803752,3805443,-
Afu4g14870,3822,Chr4_A_fumigatus_Af293,3919922,3923743,-
Afu5g00150,837,Chr5_A_fumigatus_Af293,17759,18612,+
Afu5g00155,1953,Chr5_A_fumigatus_Af293,19084,21497,-
Afu5g00160,1299,Chr5_A_fumigatus_Af293,24489,25947,+
Afu5g00180,1203,Chr5_A_fumigatus_Af293,34623,35952,+
Afu5g00190,372,Chr5_A_fumigatus_Af293,37838,38262,-
Afu5g00200,471,Chr5_A_fumigatus_Af293,41963,42498,-
Afu5g00210,348,Chr5_A_fumigatus_Af293,46426,46989,-
Afu5g00220,564,Chr5_A_fumigatus_Af293,49116,49679,+
Afu5g00230,1749,Chr5_A_fumigatus_Af293,50766,52564,+
Afu5g00240,420,Chr5_A_fumigatus_Af293,59436,59855,-
Afu5g00250,777,Chr5_A_fumigatus_Af293,60204,61033,-
Afu5g00270,3333,Chr5_A_fumigatus_Af293,72639,77896,-
Afu5g01930,513,Chr5_A_fumigatus_Af293,489700,491868,-
Afu5g02810,1650,Chr5_A_fumigatus_Af293,745166,746874,-
Afu5g02980,1632,Chr5_A_fumigatus_Af293,795382,797165,+
Afu5g03350,2154,Chr5_A_fumigatus_Af293,902262,905684,-
Afu5g04255,474,Chr5_A_fumigatus_Af293,1137370,1140033,+
Afu5g06180,1428,Chr5_A_fumigatus_Af293,1472929,1474701,-
Afu5g06920,1632,Chr5_A_fumigatus_Af293,1707612,1709395,+
Afu5g08340,1518,Chr5_A_fumigatus_Af293,2119200,2120717,-
Afu5g09820,1599,Chr5_A_fumigatus_Af293,2538755,2540631,+
Afu5g11680,186,Chr5_A_fumigatus_Af293,3001768,3001953,+
Afu5g13900,945,Chr5_A_fumigatus_Af293,3641964,3643160,+
Afu5g15090,531,Chr5_A_fumigatus_Af293,3917607,3918551,+
Afu5g15130,336,Chr5_A_fumigatus_Af293,3933369,3933704,+
Afu5g15140,207,Chr5_A_fumigatus_Af293,3934049,3934255,-
Afu6g00100,1302,Chr6_A_fumigatus_Af293,28377,29755,+
Afu6g00780,3822,Chr6_A_fumigatus_Af293,195111,198932,-
Afu6g00790,3822,Chr6_A_fumigatus_Af293,228526,232347,+
Afu6g02880,1650,Chr6_A_fumigatus_Af293,593376,595084,-
Afu6g03330,648,Chr6_A_fumigatus_Af293,709739,710441,+
Afu6g03375,324,Chr6_A_fumigatus_Af293,719607,720131,+
Afu6g03610,966,Chr6_A_fumigatus_Af293,788405,789370,+
Afu6g03650,1815,Chr6_A_fumigatus_Af293,797922,799853,-
Afu6g03685,136,Chr6_A_fumigatus_Af293,809244,809379,-
Afu6g04480,1614,Chr6_A_fumigatus_Af293,1024159,1025772,+
Afu6g04495,501,Chr6_A_fumigatus_Af293,1040567,1041485,-
Afu6g04645,1302,Chr6_A_fumigatus_Af293,1079757,1082086,+
Afu6g06445,696,Chr6_A_fumigatus_Af293,1387618,1388750,+
Afu6g07000,618,Chr6_A_fumigatus_Af293,1555926,1556543,-
Afu6g09470,3822,Chr6_A_fumigatus_Af293,2302433,2306254,-
Afu6g09505,498,Chr6_A_fumigatus_Af293,2315589,2316689,-
Afu6g09940,795,Chr6_A_fumigatus_Af293,2446909,2447703,-
Afu6g10110,1089,Chr6_A_fumigatus_Af293,2496426,2497514,+
Afu6g10870,1380,Chr6_A_fumigatus_Af293,2680639,2682018,-
Afu6g10920,1650,Chr6_A_fumigatus_Af293,2691551,2693259,-
Afu6g11640,1485,Chr6_A_fumigatus_Af293,2898174,2899897,-
Afu6g11745,621,Chr6_A_fumigatus_Af293,2919772,2921649,-
Afu6g13820,795,Chr6_A_fumigatus_Af293,3531190,3532036,-
Afu6g14620,1521,Chr6_A_fumigatus_Af293,3733268,3734788,+
Afu6g14630,1329,Chr6_A_fumigatus_Af293,3735382,3736710,-
Afu6g14660,3822,Chr6_A_fumigatus_Af293,3749677,3753498,+
Afu6g14670,441,Chr6_A_fumigatus_Af293,3770016,3770858,+
Afu6g14690,1059,Chr6_A_fumigatus_Af293,3771090,3772421,+
Afu6g14700,309,Chr6_A_fumigatus_Af293,3772567,3772987,-
Afu7g00100,324,Chr7_A_fumigatus_Af293,16510,16833,+
Afu7g01360,1329,Chr7_A_fumigatus_Af293,355866,357536,-
Afu7g02030,249,Chr7_A_fumigatus_Af293,543202,543929,-
Afu7g02580,1152,Chr7_A_fumigatus_Af293,708448,709599,+
Afu7g03810,1398,Chr7_A_fumigatus_Af293,841257,842756,-
Afu7g04735,384,Chr7_A_fumigatus_Af293,1096539,1098600,-
Afu7g04765,555,Chr7_A_fumigatus_Af293,1103873,1106148,-
Afu7g06640,180,Chr7_A_fumigatus_Af293,1616424,1616859,+
Afu7g06870,2490,Chr7_A_fumigatus_Af293,1671962,1674451,-
Afu7g06930,162,Chr7_A_fumigatus_Af293,1694092,1694253,+
Afu7g06935,489,Chr7_A_fumigatus_Af293,1696047,1696535,+
Afu7g06970,180,Chr7_A_fumigatus_Af293,1704637,1705767,-
Afu7g07010,474,Chr7_A_fumigatus_Af293,1716196,1716858,-
Afu7g07020,252,Chr7_A_fumigatus_Af293,1720679,1721091,-
Afu7g07040,600,Chr7_A_fumigatus_Af293,1724761,1725360,+
Afu7g07050,717,Chr7_A_fumigatus_Af293,1725686,1726402,-
Afu7g07070,657,Chr7_A_fumigatus_Af293,1737708,1738364,-
Afu7g07080,1614,Chr7_A_fumigatus_Af293,1738380,1739993,-
Afu7g07090,1215,Chr7_A_fumigatus_Af293,1740047,1741261,-
Afu7g07110,1074,Chr7_A_fumigatus_Af293,1749139,1750461,-
Afu7g07130,1023,Chr7_A_fumigatus_Af293,1756650,1757672,+
Afu7g07140,864,Chr7_A_fumigatus_Af293,1775752,1776665,-
Afu7g07170,3621,Chr7_A_fumigatus_Af293,1777030,1782275,-
Afu7g08200,3822,Chr7_A_fumigatus_Af293,1782806,1786627,-
Afu7g08210,309,Chr7_A_fumigatus_Af293,1798952,1799362,+
Afu7g08235,642,Chr7_A_fumigatus_Af293,1823374,1824739,+
Afu7g08237,354,Chr7_A_fumigatus_Af293,1825449,1826892,-
Afu7g08245,1248,Chr7_A_fumigatus_Af293,1836157,1840155,+
Afu7g08260,1236,Chr7_A_fumigatus_Af293,1850753,1851988,+
Afu7g08270,312,Chr7_A_fumigatus_Af293,1859211,1859522,-
Afu7g08280,930,Chr7_A_fumigatus_Af293,1861520,1862449,-
Afu7g08300,717,Chr7_A_fumigatus_Af293,1870244,1870960,-
Afu7g08320,828,Chr7_A_fumigatus_Af293,1887368,1888429,+
Afu7g08340,1794,Chr7_A_fumigatus_Af293,1890381,1892347,-
Afu7g08360,873,Chr7_A_fumigatus_Af293,1897306,1898242,+
Afu7g08370,591,Chr7_A_fumigatus_Af293,1898777,1899820,-
Afu7g08380,738,Chr7_A_fumigatus_Af293,1905958,1906781,-
Afu7g08400,1233,Chr7_A_fumigatus_Af293,1928891,1930315,+
Afu7g08410,600,Chr7_A_fumigatus_Af293,1931140,1931877,-
Afu7g08420,360,Chr7_A_fumigatus_Af293,1933755,1934192,+
Afu7g08430,579,Chr7_A_fumigatus_Af293,1937843,1938421,+
Afu7g08450,1332,Chr7_A_fumigatus_Af293,1945248,1946699,-
Afu7g08460,1224,Chr7_A_fumigatus_Af293,1947115,1948688,+
Afu7g08605,2070,Chr7_A_fumigatus_Af293,2013433,2016176,+
Afu7g08620,1245,Chr7_A_fumigatus_Af293,2018564,2019808,-
Afu7g08660,1008,Chr7_A_fumigatus_Af293,2055914,2057135,-
Afu8g00100,1689,Chr8_A_fumigatus_Af293,2845,4875,-
Afu8g00310,5256,Chr8_A_fumigatus_Af293,54895,60206,+
Afu8g00320,156,Chr8_A_fumigatus_Af293,61605,61760,+
Afu8g00330,873,Chr8_A_fumigatus_Af293,62510,65974,+
Afu8g01040,5256,Chr8_A_fumigatus_Af293,238140,243451,+
Afu8g01045,1386,Chr8_A_fumigatus_Af293,243806,245589,+
Afu8g01265,552,Chr8_A_fumigatus_Af293,306035,307469,+
Afu8g01385,492,Chr8_A_fumigatus_Af293,349616,350808,+
Afu8g01465,2187,Chr8_A_fumigatus_Af293,367645,370826,+
Afu8g01650,180,Chr8_A_fumigatus_Af293,437548,438116,+
Afu8g05165,756,Chr8_A_fumigatus_Af293,1200888,1203967,-
Afu8g06165,672,Chr8_A_fumigatus_Af293,1468966,1470401,-
Afu8g06290,5286,Chr8_A_fumigatus_Af293,1499665,1504976,-
Afu8g06335,930,Chr8_A_fumigatus_Af293,1514931,1517081,-
Afu8g06480,912,Chr8_A_fumigatus_Af293,1563259,1564399,+
Afu8g07010,177,Chr8_A_fumigatus_Af293,1719735,1720011,+
AfuMt00001,1158,mito_A_fumigatus_Af293,1,1158,+
AfuMt00010,1062,mito_A_fumigatus_Af293,1652,2713,+
AfuMt00020,1467,mito_A_fumigatus_Af293,3014,4480,+
AfuMt00030,147,mito_A_fumigatus_Af293,4824,4970,+
AfuMt00040,774,mito_A_fumigatus_Af293,5237,6010,+
AfuMt00050,651,mito_A_fumigatus_Af293,8079,8729,+
AfuMt00060,810,mito_A_fumigatus_Af293,8797,9606,+
AfuMt00070,1233,mito_A_fumigatus_Af293,13960,15192,+
AfuMt00080,1665,mito_A_fumigatus_Af293,19462,23125,+
AfuMt00090,876,mito_A_fumigatus_Af293,19816,20691,+
AfuMt00100,300,mito_A_fumigatus_Af293,23639,25096,+
AfuMt00110,408,mito_A_fumigatus_Af293,25349,25756,+
AfuMt00120,762,mito_A_fumigatus_Af293,25862,26623,+
AfuMt00130,270,mito_A_fumigatus_Af293,27609,27878,+
AfuMt00140,1983,mito_A_fumigatus_Af293,27878,29860,+
AfuMt00150,1689,mito_A_fumigatus_Af293,29913,31601,+
