QUERY,HIT,PID,ALNLEN,CHROM,START,STOP,STRAND
AFUB_001080,Afu6g13660,100.00,3837,scf_000001_A_fumigatus_A1163,286158,290651,+
AFUB_001100,Afu6g13650,99.91,3456,scf_000001_A_fumigatus_A1163,293659,297510,-
AFUB_001110,Afu6g13640,98.82,594,scf_000001_A_fumigatus_A1163,297721,300271,-
AFUB_001120,Afu6g13630,99.87,1498,scf_000001_A_fumigatus_A1163,302495,304216,+
AFUB_001130,Afu6g13610,100.00,1194,scf_000001_A_fumigatus_A1163,304672,306086,-
AFUB_001140,Afu6g13600,100.00,1287,scf_000001_A_fumigatus_A1163,306927,308939,-
AFUB_001150,Afu6g13590,100.00,1107,scf_000001_A_fumigatus_A1163,309793,311018,+
AFUB_001160,Afu6g13580,100.00,471,scf_000001_A_fumigatus_A1163,311385,311855,+
AFUB_001170,Afu6g13570,100.00,969,scf_000001_A_fumigatus_A1163,312813,313839,+
AFUB_001180,Afu6g13560,99.93,2844,scf_000001_A_fumigatus_A1163,314400,318547,-
AFUB_001190,Afu6g13550,100.00,384,scf_000001_A_fumigatus_A1163,318854,319365,+
AFUB_001200,Afu6g13540,99.94,1632,scf_000001_A_fumigatus_A1163,319898,321582,-
AFUB_001210,Afu6g13530,99.71,1035,scf_000001_A_fumigatus_A1163,322018,323269,+
AFUB_001220,Afu6g13520,99.93,1383,scf_000001_A_fumigatus_A1163,323592,324974,-
AFUB_001230,Afu6g13510,100.00,666,scf_000001_A_fumigatus_A1163,326741,328566,-
AFUB_001250,Afu6g13500,100.00,1566,scf_000001_A_fumigatus_A1163,332102,333820,+
AFUB_001260,Afu6g13490,99.87,1548,scf_000001_A_fumigatus_A1163,335018,336718,+
AFUB_001270,Afu6g13480,100.00,360,scf_000001_A_fumigatus_A1163,337023,337382,+
AFUB_001280,Afu6g13470,100.00,1047,scf_000001_A_fumigatus_A1163,337861,339099,+
AFUB_001290,Afu6g13460,99.84,2445,scf_000001_A_fumigatus_A1163,339440,341936,+
AFUB_001300,Afu6g13450,99.92,1260,scf_000001_A_fumigatus_A1163,342027,343435,-
AFUB_001310,Afu6g13440,99.94,1770,scf_000001_A_fumigatus_A1163,343708,346259,-
AFUB_001320,Afu6g13430,99.91,2121,scf_000001_A_fumigatus_A1163,348602,351603,-
AFUB_001330,Afu6g13420,100.00,1419,scf_000001_A_fumigatus_A1163,351795,353831,-
AFUB_001340,Afu6g13410,99.86,3634,scf_000001_A_fumigatus_A1163,353937,358628,+
AFUB_001350,Afu6g13400,100.00,477,scf_000001_A_fumigatus_A1163,358742,359764,+
AFUB_001360,Afu6g13390,99.94,1548,scf_000001_A_fumigatus_A1163,359827,362172,+
AFUB_001370,Afu6g13380,99.80,1536,scf_000001_A_fumigatus_A1163,364824,367076,+
AFUB_001400,Afu6g13370,100.00,5397,scf_000001_A_fumigatus_A1163,368290,374179,-
AFUB_001410,Afu6g13360,99.97,3486,scf_000001_A_fumigatus_A1163,374274,377882,+
AFUB_001420,Afu6g13350,100.00,1650,scf_000001_A_fumigatus_A1163,378190,380613,-
AFUB_001430,Afu6g13340,99.91,1095,scf_000001_A_fumigatus_A1163,383025,385205,+
AFUB_001440,Afu6g13330,100.00,339,scf_000001_A_fumigatus_A1163,385478,385967,-
AFUB_001450,Afu6g13320,99.88,2436,scf_000001_A_fumigatus_A1163,386681,389422,-
AFUB_001460,Afu6g13310,100.00,729,scf_000001_A_fumigatus_A1163,389941,391243,+
AFUB_001470,Afu6g13300,100.00,648,scf_000001_A_fumigatus_A1163,391573,392608,+
AFUB_001480,Afu6g13290,99.76,4131,scf_000001_A_fumigatus_A1163,393181,397567,-
AFUB_001490,Afu6g13280,99.48,382,scf_000001_A_fumigatus_A1163,399248,399797,+
AFUB_001500,Afu6g13270,99.96,2415,scf_000001_A_fumigatus_A1163,400024,403438,-
AFUB_001510,Afu6g13260,99.73,4091,scf_000001_A_fumigatus_A1163,405930,412539,+
AFUB_001520,Afu6g13250,100.00,372,scf_000001_A_fumigatus_A1163,412718,413988,-
AFUB_001530,Afu6g13230,99.89,879,scf_000001_A_fumigatus_A1163,414122,415288,-
AFUB_001540,Afu6g13220,100.00,1014,scf_000001_A_fumigatus_A1163,417905,418918,+
AFUB_001550,Afu6g13210,100.00,2232,scf_000001_A_fumigatus_A1163,419044,421647,-
AFUB_001560,Afu6g13200,99.95,6420,scf_000001_A_fumigatus_A1163,424077,431663,-
AFUB_001570,Afu6g13190,99.95,1863,scf_000001_A_fumigatus_A1163,431762,435168,-
AFUB_001580,Afu6g13180,100.00,1725,scf_000001_A_fumigatus_A1163,436653,438436,+
AFUB_001590,Afu6g13170,100.00,546,scf_000001_A_fumigatus_A1163,439030,439721,-
AFUB_001600,Afu6g13160,99.93,1399,scf_000001_A_fumigatus_A1163,441051,442922,+
AFUB_001610,Afu6g13150,99.44,2334,scf_000001_A_fumigatus_A1163,443252,445701,+
AFUB_001620,Afu6g13140,100.00,699,scf_000001_A_fumigatus_A1163,445736,447343,+
AFUB_001630,Afu6g13130,100.00,873,scf_000001_A_fumigatus_A1163,447423,448791,-
AFUB_001640,Afu6g13120,99.92,6030,scf_000001_A_fumigatus_A1163,448906,455265,+
AFUB_001650,Afu6g13110,99.59,729,scf_000001_A_fumigatus_A1163,455752,456480,-
AFUB_001660,Afu6g13100,100.00,630,scf_000001_A_fumigatus_A1163,456705,457909,-
AFUB_001670,Afu6g13090,99.95,1956,scf_000001_A_fumigatus_A1163,458207,460337,-
AFUB_001680,Afu6g13080,99.75,3932,scf_000001_A_fumigatus_A1163,461051,465977,-
AFUB_001690,Afu6g13070,99.76,1272,scf_000001_A_fumigatus_A1163,466171,467835,-
AFUB_001700,Afu6g13060,99.96,2274,scf_000001_A_fumigatus_A1163,469164,472447,-
AFUB_001710,Afu6g13050,99.87,2244,scf_000001_A_fumigatus_A1163,475226,478884,-
AFUB_001720,Afu6g13030,99.87,3186,scf_000001_A_fumigatus_A1163,480888,485200,+
AFUB_001730,Afu6g13010,99.69,966,scf_000001_A_fumigatus_A1163,485315,486704,-
AFUB_001740,Afu6g13020,100.00,558,scf_000001_A_fumigatus_A1163,487018,487867,+
AFUB_001750,Afu6g12990,100.00,713,scf_000001_A_fumigatus_A1163,488478,489302,+
AFUB_001760,Afu6g12980,99.93,2736,scf_000001_A_fumigatus_A1163,490140,493086,-
AFUB_001770,Afu6g12970,100.00,1404,scf_000001_A_fumigatus_A1163,494129,495704,+
AFUB_001780,Afu6g12960,99.70,663,scf_000001_A_fumigatus_A1163,496249,497370,-
AFUB_001790,Afu6g12950,99.94,1548,scf_000001_A_fumigatus_A1163,497536,500428,-
AFUB_001800,Afu6g12940,100.00,799,scf_000001_A_fumigatus_A1163,500942,502428,-
AFUB_001810,Afu6g12930,99.73,2220,scf_000001_A_fumigatus_A1163,503087,505975,-
AFUB_001820,Afu6g12920,100.00,486,scf_000001_A_fumigatus_A1163,507192,507677,+
AFUB_001830,Afu6g12900,100.00,837,scf_000001_A_fumigatus_A1163,508172,509216,-
AFUB_001840,Afu6g12910,100.00,2046,scf_000001_A_fumigatus_A1163,509942,512344,+
AFUB_001850,Afu6g12890,99.89,2784,scf_000001_A_fumigatus_A1163,512743,516032,+
AFUB_001860,Afu6g12880,100.00,231,scf_000001_A_fumigatus_A1163,516840,517172,-
AFUB_001870,Afu6g12870,100.00,2184,scf_000001_A_fumigatus_A1163,518838,521817,-
AFUB_001880,Afu6g12860,100.00,1227,scf_000001_A_fumigatus_A1163,522180,524236,+
AFUB_001890,Afu6g12840,100.00,2181,scf_000001_A_fumigatus_A1163,524369,527531,-
AFUB_001900,Afu6g12830,100.00,2766,scf_000001_A_fumigatus_A1163,528389,532213,+
AFUB_001920,Afu8g06160,99.86,696,scf_000001_A_fumigatus_A1163,538728,540145,-
AFUB_001930,Afu8g06150,98.59,1064,scf_000001_A_fumigatus_A1163,540605,541672,+
AFUB_001940,Afu8g06140,89.02,3041,scf_000001_A_fumigatus_A1163,542332,546781,+
AFUB_001950,Afu8g06132,99.33,1492,scf_000001_A_fumigatus_A1163,546863,549408,-
AFUB_001960,Afu1g01560,99.67,1503,scf_000001_A_fumigatus_A1163,550066,552376,+
AFUB_001970,Afu1g01570,99.64,1101,scf_000001_A_fumigatus_A1163,552764,554124,-
AFUB_001980,Afu1g01580,100.00,156,scf_000001_A_fumigatus_A1163,555069,555224,+
AFUB_001990,Afu1g01590,99.84,2517,scf_000001_A_fumigatus_A1163,555227,558082,-
AFUB_002000,Afu1g01600,99.94,1761,scf_000001_A_fumigatus_A1163,558713,560521,-
AFUB_002010,Afu1g01610,100.00,1014,scf_000001_A_fumigatus_A1163,561465,562967,+
AFUB_002020,Afu1g01620,99.22,2319,scf_000001_A_fumigatus_A1163,564251,567186,+
AFUB_002030,Afu1g01630,99.72,1080,scf_000001_A_fumigatus_A1163,567985,569126,-
AFUB_002040,Afu1g01640,99.93,1374,scf_000001_A_fumigatus_A1163,569876,571249,+
AFUB_002050,Afu1g01650,99.60,1239,scf_000001_A_fumigatus_A1163,571824,573196,+
AFUB_002060,Afu1g01660,99.36,2031,scf_000001_A_fumigatus_A1163,573798,575880,+
AFUB_002070,Afu1g01670,99.07,1401,scf_000001_A_fumigatus_A1163,575933,577480,+
AFUB_002080,Afu1g01680,99.65,1140,scf_000001_A_fumigatus_A1163,578097,579303,+
AFUB_002090,Afu1g01690,99.68,1539,scf_000001_A_fumigatus_A1163,579436,581073,-
AFUB_002100,Afu1g01700,99.20,3135,scf_000001_A_fumigatus_A1163,581899,585472,-
AFUB_002110,Afu1g01710,98.69,153,scf_000001_A_fumigatus_A1163,585531,585806,+
AFUB_002120,Afu1g01720,99.70,2984,scf_000001_A_fumigatus_A1163,585954,590048,-
AFUB_002130,Afu1g01730,99.42,1374,scf_000001_A_fumigatus_A1163,590839,593143,-
AFUB_002140,Afu1g01740,99.23,1553,scf_000001_A_fumigatus_A1163,594172,596348,-
AFUB_002150,Afu1g01750,99.42,1887,scf_000001_A_fumigatus_A1163,596363,598371,+
AFUB_002160,Afu1g01760,99.77,885,scf_000001_A_fumigatus_A1163,599012,600500,-
AFUB_002170,Afu1g01770,99.06,855,scf_000001_A_fumigatus_A1163,601802,602770,+
AFUB_002180,Afu1g01780,99.71,1026,scf_000001_A_fumigatus_A1163,603216,604366,+
AFUB_002190,Afu1g01790,99.10,666,scf_000001_A_fumigatus_A1163,604647,605312,+
AFUB_002200,Afu1g01812,98.60,1075,scf_000001_A_fumigatus_A1163,605585,606831,-
AFUB_002210,Afu1g01812,98.81,421,scf_000001_A_fumigatus_A1163,606913,607654,-
AFUB_002220,Afu1g01820,98.51,1278,scf_000001_A_fumigatus_A1163,608541,609873,-
AFUB_002230,Afu1g01830,99.39,984,scf_000001_A_fumigatus_A1163,611079,612110,+
AFUB_002240,Afu1g01850,99.05,2520,scf_000001_A_fumigatus_A1163,612247,615564,-
AFUB_002250,Afu1g01860,98.89,633,scf_000001_A_fumigatus_A1163,615729,617166,+
AFUB_002260,Afu1g01870,99.73,744,scf_000001_A_fumigatus_A1163,617642,618509,+
AFUB_002270,Afu1g01890,99.37,948,scf_000001_A_fumigatus_A1163,618836,620185,-
AFUB_002280,Afu1g01900,99.60,252,scf_000001_A_fumigatus_A1163,620306,621234,-
AFUB_002290,Afu1g01910,99.92,1281,scf_000001_A_fumigatus_A1163,622081,623949,+
AFUB_002300,Afu1g01920,99.66,878,scf_000001_A_fumigatus_A1163,626152,627653,+
AFUB_002310,Afu1g01930,99.62,1572,scf_000001_A_fumigatus_A1163,643702,645344,+
AFUB_002320,Afu1g01940,99.03,1026,scf_000001_A_fumigatus_A1163,645667,647022,+
AFUB_002330,Afu1g01950,100.00,405,scf_000001_A_fumigatus_A1163,649216,651130,+
AFUB_002340,Afu1g01960,99.92,1185,scf_000001_A_fumigatus_A1163,651296,654213,-
AFUB_002350,Afu1g01970,99.91,1071,scf_000001_A_fumigatus_A1163,658411,661262,+
AFUB_002360,Afu1g01980,99.82,549,scf_000001_A_fumigatus_A1163,661975,662882,+
AFUB_002370,Afu1g01990,100.00,1548,scf_000001_A_fumigatus_A1163,663051,664779,-
AFUB_002380,Afu1g02000,99.84,2523,scf_000001_A_fumigatus_A1163,664981,667875,+
AFUB_002390,Afu1g02010,100.00,2367,scf_000001_A_fumigatus_A1163,668013,670948,-
AFUB_002400,Afu1g02020,99.77,855,scf_000001_A_fumigatus_A1163,671152,673060,-
AFUB_002410,Afu1g02030,99.96,2223,scf_000001_A_fumigatus_A1163,673450,675874,+
AFUB_002420,Afu1g02040,100.00,789,scf_000001_A_fumigatus_A1163,676198,677046,-
AFUB_002430,Afu1g02050,100.00,2661,scf_000001_A_fumigatus_A1163,677616,680842,-
AFUB_002440,Afu1g02060,99.21,757,scf_000001_A_fumigatus_A1163,681073,683084,+
AFUB_002450,Afu1g02070,100.00,960,scf_000001_A_fumigatus_A1163,683713,685034,+
AFUB_002460,Afu1g02080,99.91,1170,scf_000001_A_fumigatus_A1163,685497,686666,-
AFUB_002470,Afu1g02090,100.00,1026,scf_000001_A_fumigatus_A1163,686958,688381,-
AFUB_002480,Afu1g02100,99.94,3606,scf_000001_A_fumigatus_A1163,689564,693929,+
AFUB_002490,Afu1g02110,100.00,1131,scf_000001_A_fumigatus_A1163,694346,696459,+
AFUB_002500,Afu1g02120,99.86,2127,scf_000001_A_fumigatus_A1163,696897,700744,-
AFUB_002510,Afu1g02130,99.96,2508,scf_000001_A_fumigatus_A1163,701452,704804,-
AFUB_002520,Afu1g02140,99.96,4839,scf_000001_A_fumigatus_A1163,704910,710054,-
AFUB_002530,Afu1g02150,99.94,1560,scf_000001_A_fumigatus_A1163,710347,712256,-
AFUB_002540,Afu1g02160,100.00,702,scf_000001_A_fumigatus_A1163,712331,713385,+
AFUB_002550,Afu1g02170,99.95,1917,scf_000001_A_fumigatus_A1163,713940,716144,+
AFUB_002560,Afu1g02180,99.55,2656,scf_000001_A_fumigatus_A1163,716517,720416,-
AFUB_002570,Afu1g02190,99.34,608,scf_000001_A_fumigatus_A1163,721400,722652,+
AFUB_002580,Afu1g02200,100.00,1074,scf_000001_A_fumigatus_A1163,723333,724951,-
AFUB_002590,Afu1g02210,100.00,1071,scf_000001_A_fumigatus_A1163,725108,726592,-
AFUB_002600,Afu1g02220,99.68,312,scf_000001_A_fumigatus_A1163,727520,728088,+
AFUB_002610,Afu1g02230,99.79,480,scf_000001_A_fumigatus_A1163,728699,729315,-
AFUB_002620,Afu1g02240,99.87,759,scf_000001_A_fumigatus_A1163,730454,731272,-
AFUB_002630,Afu1g02250,100.00,660,scf_000001_A_fumigatus_A1163,732574,733301,+
AFUB_002640,Afu1g02255,99.82,567,scf_000001_A_fumigatus_A1163,734054,734687,+
AFUB_002650,Afu1g02260,100.00,471,scf_000001_A_fumigatus_A1163,735530,736108,+
AFUB_002660,Afu1g02270,100.00,2343,scf_000001_A_fumigatus_A1163,736379,739374,-
AFUB_002670,Afu1g02280,99.95,2115,scf_000001_A_fumigatus_A1163,739896,742010,+
AFUB_002680,Afu1g02290,100.00,321,scf_000001_A_fumigatus_A1163,742541,742920,-
AFUB_002690,Afu1g02300,96.17,183,scf_000001_A_fumigatus_A1163,747777,748242,+
AFUB_002700,Afu1g02310,99.26,678,scf_000001_A_fumigatus_A1163,748716,749724,-
AFUB_002710,Afu1g02320,99.28,690,scf_000001_A_fumigatus_A1163,750997,751686,+
AFUB_002720,Afu1g02330,99.78,915,scf_000001_A_fumigatus_A1163,752258,753293,-
AFUB_002730,Afu1g02340,99.63,1335,scf_000001_A_fumigatus_A1163,754741,756075,+
AFUB_002740,Afu1g02360,99.54,1737,scf_000001_A_fumigatus_A1163,758536,761153,-
AFUB_002750,Afu1g02350,99.75,1608,scf_000001_A_fumigatus_A1163,762156,764731,+
AFUB_002760,Afu1g02370,99.77,888,scf_000001_A_fumigatus_A1163,765594,766954,-
AFUB_002770,Afu1g02380,100.00,357,scf_000001_A_fumigatus_A1163,767240,767999,+
AFUB_002780,Afu1g02390,99.06,1488,scf_000001_A_fumigatus_A1163,769444,771217,+
AFUB_002790,Afu1g02400,97.78,1487,scf_000001_A_fumigatus_A1163,771527,774058,-
AFUB_002800,Afu1g02410,99.50,1410,scf_000001_A_fumigatus_A1163,774556,776073,+
AFUB_002810,Afu1g02420,99.63,1368,scf_000001_A_fumigatus_A1163,776407,777774,-
AFUB_002820,Afu1g02430,99.65,1155,scf_000001_A_fumigatus_A1163,778272,779497,+
AFUB_002830,Afu1g02440,99.54,864,scf_000001_A_fumigatus_A1163,780194,781057,+
AFUB_002840,Afu1g02450,99.66,1767,scf_000001_A_fumigatus_A1163,782026,784034,+
AFUB_002850,Afu1g02460,99.83,3539,scf_000001_A_fumigatus_A1163,784441,788250,-
AFUB_002860,Afu1g02480,97.41,193,scf_000001_A_fumigatus_A1163,791336,792371,+
AFUB_002870,Afu1g02490,98.61,863,scf_000001_A_fumigatus_A1163,793166,795162,+
AFUB_002880,Afu1g02500,100.00,1626,scf_000001_A_fumigatus_A1163,795336,797125,-
AFUB_002890,Afu1g02510,99.87,3057,scf_000001_A_fumigatus_A1163,797369,801964,-
AFUB_002900,Afu1g02520,100.00,252,scf_000001_A_fumigatus_A1163,808626,808974,+
AFUB_002910,Afu1g02530,99.93,1512,scf_000001_A_fumigatus_A1163,809903,811542,+
AFUB_002920,Afu1g02540,99.95,3741,scf_000001_A_fumigatus_A1163,812019,816350,-
AFUB_002930,Afu1g02550,100.00,1347,scf_000001_A_fumigatus_A1163,816826,819238,-
AFUB_002940,Afu1g02560,100.00,762,scf_000001_A_fumigatus_A1163,819475,820651,+
AFUB_002950,Afu1g02570,100.00,2844,scf_000001_A_fumigatus_A1163,821130,824474,-
AFUB_002960,Afu1g02580,99.90,1020,scf_000001_A_fumigatus_A1163,825024,826595,+
AFUB_002970,Afu1g02590,99.81,2142,scf_000001_A_fumigatus_A1163,827067,829920,-
