GENE,CDSLEN,CHROM,START,STOP,STRAND,HOMOLOG,PERCENTID,ALNLEN
AFUB_000750,1290,scf_000001_A_fumigatus_A1163,196077,198545,-,Afu6g14000,99.84,1290
AFUB_000760,1533,scf_000001_A_fumigatus_A1163,198684,200216,+,Afu6g13990,99.87,1533
AFUB_000770,963,scf_000001_A_fumigatus_A1163,200512,201589,-,Afu6g13980,99.90,963
AFUB_000780,1398,scf_000001_A_fumigatus_A1163,201944,203586,-,Afu6g13970,99.93,1398
AFUB_000790,726,scf_000001_A_fumigatus_A1163,203952,204739,-,Afu6g13950,100.00,726
AFUB_000800,1509,scf_000001_A_fumigatus_A1163,205042,207123,-,Afu6g13945,100.00,1509
AFUB_000810,1611,scf_000001_A_fumigatus_A1163,207570,209810,-,Afu6g13940,99.88,1611
AFUB_000820,7338,scf_000001_A_fumigatus_A1163,210196,217626,+,Afu6g13930,99.97,7338
AFUB_000830,1746,scf_000001_A_fumigatus_A1163,217766,219908,+,Afu6g13920,99.94,1746
AFUB_000840,1320,scf_000001_A_fumigatus_A1163,221317,223138,-,Afu6g13900,97.97,935
AFUB_000850,987,scf_000001_A_fumigatus_A1163,223477,224463,+,Afu6g13890,100.00,987
AFUB_000860,1638,scf_000001_A_fumigatus_A1163,224633,226581,-,Afu6g13880,100.00,1638
AFUB_000870,303,scf_000001_A_fumigatus_A1163,227603,228165,-,Afu6g13860,100.00,303
AFUB_000880,2706,scf_000001_A_fumigatus_A1163,229946,233071,+,Afu6g13850,99.89,2706
AFUB_000890,375,scf_000001_A_fumigatus_A1163,233235,233755,-,Afu6g13840,100.00,375
AFUB_000900,792,scf_000001_A_fumigatus_A1163,233988,235644,+,Afu6g13830,99.87,792
AFUB_000910,1017,scf_000001_A_fumigatus_A1163,236426,237507,+,NONE,0,0
AFUB_000920,1083,scf_000001_A_fumigatus_A1163,237652,238837,-,Afu6g13810,99.91,1083
AFUB_000930,1143,scf_000001_A_fumigatus_A1163,239789,241182,-,Afu6g13800,99.91,1143
AFUB_000940,1686,scf_000001_A_fumigatus_A1163,242088,244236,+,Afu6g13790,99.94,1686
AFUB_000950,1677,scf_000001_A_fumigatus_A1163,245078,246960,+,Afu6g13780,100.00,1677
AFUB_000960,2139,scf_000001_A_fumigatus_A1163,247785,250137,-,Afu6g13770,100.00,2139
AFUB_000970,903,scf_000001_A_fumigatus_A1163,250552,251515,+,Afu6g13765,100.00,903
AFUB_000980,2379,scf_000001_A_fumigatus_A1163,252516,254960,+,Afu6g13760,99.83,2379
AFUB_000990,1959,scf_000001_A_fumigatus_A1163,255084,257042,-,Afu6g13750,99.85,1959
AFUB_001000,909,scf_000001_A_fumigatus_A1163,257484,258438,-,Afu6g13740,100.00,909
AFUB_001010,168,scf_000001_A_fumigatus_A1163,260465,260632,-,Afu6g13730,100.00,168
AFUB_001020,4137,scf_000001_A_fumigatus_A1163,262383,266843,-,Afu6g13720,99.98,4137
AFUB_001030,1599,scf_000001_A_fumigatus_A1163,267538,269914,+,Afu6g13710,99.87,1599
AFUB_001040,849,scf_000001_A_fumigatus_A1163,270048,271038,-,Afu6g13700,100.00,849
AFUB_001050,4983,scf_000001_A_fumigatus_A1163,272389,277511,+,Afu6g13690,100.00,4983
AFUB_001060,1428,scf_000001_A_fumigatus_A1163,278061,282255,-,Afu6g13680,98.89,1443
AFUB_001070,1017,scf_000001_A_fumigatus_A1163,282896,285432,-,Afu6g13670,100.00,1017
AFUB_001080,3837,scf_000001_A_fumigatus_A1163,286158,290651,+,Afu6g13660,100.00,3837
AFUB_001100,3456,scf_000001_A_fumigatus_A1163,293659,297510,-,Afu6g13650,99.91,3456
AFUB_001110,1017,scf_000001_A_fumigatus_A1163,297721,300271,-,Afu6g13640,98.82,594
AFUB_001120,1503,scf_000001_A_fumigatus_A1163,302495,304216,+,Afu6g13630,99.87,1498
AFUB_001130,1194,scf_000001_A_fumigatus_A1163,304672,306086,-,Afu6g13610,100.00,1194
AFUB_001140,1287,scf_000001_A_fumigatus_A1163,306927,308939,-,Afu6g13600,100.00,1287
AFUB_001150,1107,scf_000001_A_fumigatus_A1163,309793,311018,+,Afu6g13590,100.00,1107
AFUB_001160,471,scf_000001_A_fumigatus_A1163,311385,311855,+,Afu6g13580,100.00,471
AFUB_001170,969,scf_000001_A_fumigatus_A1163,312813,313839,+,Afu6g13570,100.00,969
AFUB_001180,3012,scf_000001_A_fumigatus_A1163,314400,318547,-,Afu6g13560,99.93,2844
AFUB_001190,384,scf_000001_A_fumigatus_A1163,318854,319365,+,Afu6g13550,100.00,384
AFUB_001200,1632,scf_000001_A_fumigatus_A1163,319898,321582,-,Afu6g13540,99.94,1632
AFUB_001210,1035,scf_000001_A_fumigatus_A1163,322018,323269,+,Afu6g13530,99.71,1035
AFUB_001220,1383,scf_000001_A_fumigatus_A1163,323592,324974,-,Afu6g13520,99.93,1383
AFUB_001230,666,scf_000001_A_fumigatus_A1163,326741,328566,-,Afu6g13510,100.00,666
AFUB_001250,1566,scf_000001_A_fumigatus_A1163,332102,333820,+,Afu6g13500,100.00,1566
AFUB_001260,1548,scf_000001_A_fumigatus_A1163,335018,336718,+,Afu6g13490,99.87,1548
AFUB_001270,360,scf_000001_A_fumigatus_A1163,337023,337382,+,Afu6g13480,100.00,360
AFUB_001280,1047,scf_000001_A_fumigatus_A1163,337861,339099,+,Afu6g13470,100.00,1047
AFUB_001290,2445,scf_000001_A_fumigatus_A1163,339440,341936,+,Afu6g13460,99.84,2445
AFUB_001300,1260,scf_000001_A_fumigatus_A1163,342027,343435,-,Afu6g13450,99.92,1260
AFUB_001310,1770,scf_000001_A_fumigatus_A1163,343708,346259,-,Afu6g13440,99.94,1770
AFUB_001320,2121,scf_000001_A_fumigatus_A1163,348602,351603,-,Afu6g13430,99.91,2121
AFUB_001330,1419,scf_000001_A_fumigatus_A1163,351795,353831,-,Afu6g13420,100.00,1419
AFUB_001340,3630,scf_000001_A_fumigatus_A1163,353937,358628,+,Afu6g13410,99.86,3634
AFUB_001350,477,scf_000001_A_fumigatus_A1163,358742,359764,+,Afu6g13400,100.00,477
AFUB_001360,1548,scf_000001_A_fumigatus_A1163,359827,362172,+,Afu6g13390,99.94,1548
AFUB_001370,1536,scf_000001_A_fumigatus_A1163,364824,367076,+,Afu6g13380,99.80,1536
AFUB_001400,5397,scf_000001_A_fumigatus_A1163,368290,374179,-,Afu6g13370,100.00,5397
AFUB_001410,3486,scf_000001_A_fumigatus_A1163,374274,377882,+,Afu6g13360,99.97,3486
AFUB_001420,1650,scf_000001_A_fumigatus_A1163,378190,380613,-,Afu6g13350,100.00,1650
AFUB_001430,1494,scf_000001_A_fumigatus_A1163,383025,385205,+,Afu6g13340,99.91,1095
AFUB_001440,339,scf_000001_A_fumigatus_A1163,385478,385967,-,Afu6g13330,100.00,339
AFUB_001450,2436,scf_000001_A_fumigatus_A1163,386681,389422,-,Afu6g13320,99.88,2436
AFUB_001460,729,scf_000001_A_fumigatus_A1163,389941,391243,+,Afu6g13310,100.00,729
AFUB_001470,648,scf_000001_A_fumigatus_A1163,391573,392608,+,Afu6g13300,100.00,648
AFUB_001480,4125,scf_000001_A_fumigatus_A1163,393181,397567,-,Afu6g13290,99.76,4131
AFUB_001490,468,scf_000001_A_fumigatus_A1163,399248,399797,+,Afu6g13280,99.48,382
AFUB_001500,2415,scf_000001_A_fumigatus_A1163,400024,403438,-,Afu6g13270,99.96,2415
AFUB_001510,4332,scf_000001_A_fumigatus_A1163,405930,412539,+,Afu6g13260,99.73,4091
AFUB_001520,372,scf_000001_A_fumigatus_A1163,412718,413988,-,Afu6g13250,100.00,372
AFUB_001530,879,scf_000001_A_fumigatus_A1163,414122,415288,-,Afu6g13230,99.89,879
AFUB_001540,1014,scf_000001_A_fumigatus_A1163,417905,418918,+,Afu6g13220,100.00,1014
AFUB_001550,2232,scf_000001_A_fumigatus_A1163,419044,421647,-,Afu6g13210,100.00,2232
AFUB_001560,6420,scf_000001_A_fumigatus_A1163,424077,431663,-,Afu6g13200,99.95,6420
AFUB_001570,1863,scf_000001_A_fumigatus_A1163,431762,435168,-,Afu6g13190,99.95,1863
AFUB_001580,1725,scf_000001_A_fumigatus_A1163,436653,438436,+,Afu6g13180,100.00,1725
AFUB_001590,546,scf_000001_A_fumigatus_A1163,439030,439721,-,Afu6g13170,100.00,546
AFUB_001600,1545,scf_000001_A_fumigatus_A1163,441051,442922,+,Afu6g13160,99.93,1399
AFUB_001610,2325,scf_000001_A_fumigatus_A1163,443252,445701,+,Afu6g13150,99.44,2334
AFUB_001620,699,scf_000001_A_fumigatus_A1163,445736,447343,+,Afu6g13140,100.00,699
AFUB_001630,873,scf_000001_A_fumigatus_A1163,447423,448791,-,Afu6g13130,100.00,873
AFUB_001640,6030,scf_000001_A_fumigatus_A1163,448906,455265,+,Afu6g13120,99.92,6030
AFUB_001650,729,scf_000001_A_fumigatus_A1163,455752,456480,-,Afu6g13110,99.59,729
AFUB_001660,630,scf_000001_A_fumigatus_A1163,456705,457909,-,Afu6g13100,100.00,630
AFUB_001670,1956,scf_000001_A_fumigatus_A1163,458207,460337,-,Afu6g13090,99.95,1956
AFUB_001680,4320,scf_000001_A_fumigatus_A1163,461051,465977,-,Afu6g13080,99.75,3932
AFUB_001690,1272,scf_000001_A_fumigatus_A1163,466171,467835,-,Afu6g13070,99.76,1272
AFUB_001700,2274,scf_000001_A_fumigatus_A1163,469164,472447,-,Afu6g13060,99.96,2274
AFUB_001710,2244,scf_000001_A_fumigatus_A1163,475226,478884,-,Afu6g13050,99.87,2244
AFUB_001720,3186,scf_000001_A_fumigatus_A1163,480888,485200,+,Afu6g13030,99.87,3186
AFUB_001730,966,scf_000001_A_fumigatus_A1163,485315,486704,-,Afu6g13010,99.69,966
AFUB_001740,558,scf_000001_A_fumigatus_A1163,487018,487867,+,Afu6g13020,100.00,558
AFUB_001750,765,scf_000001_A_fumigatus_A1163,488478,489302,+,Afu6g12990,100.00,713
AFUB_001760,2736,scf_000001_A_fumigatus_A1163,490140,493086,-,Afu6g12980,99.93,2736
AFUB_001770,1404,scf_000001_A_fumigatus_A1163,494129,495704,+,Afu6g12970,100.00,1404
AFUB_001780,663,scf_000001_A_fumigatus_A1163,496249,497370,-,Afu6g12960,99.70,663
AFUB_001790,1548,scf_000001_A_fumigatus_A1163,497536,500428,-,Afu6g12950,99.94,1548
AFUB_001800,834,scf_000001_A_fumigatus_A1163,500942,502428,-,Afu6g12940,100.00,799
AFUB_001810,2340,scf_000001_A_fumigatus_A1163,503087,505975,-,Afu6g12930,99.73,2220
AFUB_001820,486,scf_000001_A_fumigatus_A1163,507192,507677,+,Afu6g12920,100.00,486
AFUB_001830,912,scf_000001_A_fumigatus_A1163,508172,509216,-,Afu6g12900,100.00,837
AFUB_001840,2046,scf_000001_A_fumigatus_A1163,509942,512344,+,Afu6g12910,100.00,2046
AFUB_001850,2784,scf_000001_A_fumigatus_A1163,512743,516032,+,Afu6g12890,99.89,2784
AFUB_001860,231,scf_000001_A_fumigatus_A1163,516840,517172,-,Afu6g12880,100.00,231
AFUB_001870,2184,scf_000001_A_fumigatus_A1163,518838,521817,-,Afu6g12870,100.00,2184
AFUB_001880,1227,scf_000001_A_fumigatus_A1163,522180,524236,+,Afu6g12860,100.00,1227
AFUB_001890,2181,scf_000001_A_fumigatus_A1163,524369,527531,-,Afu6g12840,100.00,2181
AFUB_001900,2766,scf_000001_A_fumigatus_A1163,528389,532213,+,Afu6g12830,100.00,2766
AFUB_001910,219,scf_000001_A_fumigatus_A1163,538165,538658,+,NONE,0,0
AFUB_001920,696,scf_000001_A_fumigatus_A1163,538728,540145,-,Afu8g06160,99.86,696
AFUB_001930,1068,scf_000001_A_fumigatus_A1163,540605,541672,+,Afu8g06150,98.59,1064
AFUB_001940,3666,scf_000001_A_fumigatus_A1163,542332,546781,+,Afu8g06140,89.02,3041
AFUB_001950,1635,scf_000001_A_fumigatus_A1163,546863,549408,-,Afu8g06132,99.33,1492
AFUB_001960,1503,scf_000001_A_fumigatus_A1163,550066,552376,+,Afu1g01560,99.67,1503
AFUB_001970,1101,scf_000001_A_fumigatus_A1163,552764,554124,-,Afu1g01570,99.64,1101
AFUB_001980,156,scf_000001_A_fumigatus_A1163,555069,555224,+,Afu1g01580,100.00,156
AFUB_001990,2517,scf_000001_A_fumigatus_A1163,555227,558082,-,Afu1g01590,99.84,2517
AFUB_002000,1761,scf_000001_A_fumigatus_A1163,558713,560521,-,Afu1g01600,99.94,1761
AFUB_002010,1014,scf_000001_A_fumigatus_A1163,561465,562967,+,Afu1g01610,100.00,1014
AFUB_002020,2319,scf_000001_A_fumigatus_A1163,564251,567186,+,Afu1g01620,99.22,2319
AFUB_002030,1080,scf_000001_A_fumigatus_A1163,567985,569126,-,Afu1g01630,99.72,1080
AFUB_002040,1374,scf_000001_A_fumigatus_A1163,569876,571249,+,Afu1g01640,99.93,1374
AFUB_002050,1239,scf_000001_A_fumigatus_A1163,571824,573196,+,Afu1g01650,99.60,1239
AFUB_002060,2031,scf_000001_A_fumigatus_A1163,573798,575880,+,Afu1g01660,99.36,2031
AFUB_002070,1395,scf_000001_A_fumigatus_A1163,575933,577480,+,Afu1g01670,99.07,1401
AFUB_002080,1140,scf_000001_A_fumigatus_A1163,578097,579303,+,Afu1g01680,99.65,1140
AFUB_002090,1539,scf_000001_A_fumigatus_A1163,579436,581073,-,Afu1g01690,99.68,1539
AFUB_002100,3129,scf_000001_A_fumigatus_A1163,581899,585472,-,Afu1g01700,99.20,3135
AFUB_002110,153,scf_000001_A_fumigatus_A1163,585531,585806,+,Afu1g01710,98.69,153
AFUB_002120,3441,scf_000001_A_fumigatus_A1163,585954,590048,-,Afu1g01720,99.70,2984
AFUB_002130,1374,scf_000001_A_fumigatus_A1163,590839,593143,-,Afu1g01730,99.42,1374
AFUB_002140,1674,scf_000001_A_fumigatus_A1163,594172,596348,-,Afu1g01740,99.23,1553
AFUB_002150,1887,scf_000001_A_fumigatus_A1163,596363,598371,+,Afu1g01750,99.42,1887
AFUB_002160,885,scf_000001_A_fumigatus_A1163,599012,600500,-,Afu1g01760,99.77,885
AFUB_002170,855,scf_000001_A_fumigatus_A1163,601802,602770,+,Afu1g01770,99.06,855
AFUB_002180,1026,scf_000001_A_fumigatus_A1163,603216,604366,+,Afu1g01780,99.71,1026
AFUB_002190,666,scf_000001_A_fumigatus_A1163,604647,605312,+,Afu1g01790,99.10,666
AFUB_002200,1113,scf_000001_A_fumigatus_A1163,605585,606831,-,Afu1g01812,98.60,1075
AFUB_002210,480,scf_000001_A_fumigatus_A1163,606913,607654,-,Afu1g01812,98.81,421
AFUB_002220,1278,scf_000001_A_fumigatus_A1163,608541,609873,-,Afu1g01820,98.51,1278
AFUB_002230,984,scf_000001_A_fumigatus_A1163,611079,612110,+,Afu1g01830,99.39,984
AFUB_002240,2520,scf_000001_A_fumigatus_A1163,612247,615564,-,Afu1g01850,99.05,2520
AFUB_002250,942,scf_000001_A_fumigatus_A1163,615729,617166,+,Afu1g01860,98.89,633
AFUB_002260,744,scf_000001_A_fumigatus_A1163,617642,618509,+,Afu1g01870,99.73,744
AFUB_002270,948,scf_000001_A_fumigatus_A1163,618836,620185,-,Afu1g01890,99.37,948
AFUB_002280,339,scf_000001_A_fumigatus_A1163,620306,621234,-,Afu1g01900,99.60,252
AFUB_002290,1281,scf_000001_A_fumigatus_A1163,622081,623949,+,Afu1g01910,99.92,1281
AFUB_002300,1086,scf_000001_A_fumigatus_A1163,626152,627653,+,Afu1g01920,99.66,878
AFUB_002310,1572,scf_000001_A_fumigatus_A1163,643702,645344,+,Afu1g01930,99.62,1572
AFUB_002320,1302,scf_000001_A_fumigatus_A1163,645667,647022,+,Afu1g01940,99.03,1026
AFUB_002330,405,scf_000001_A_fumigatus_A1163,649216,651130,+,Afu1g01950,100.00,405
AFUB_002340,1185,scf_000001_A_fumigatus_A1163,651296,654213,-,Afu1g01960,99.92,1185
AFUB_002350,1071,scf_000001_A_fumigatus_A1163,658411,661262,+,Afu1g01970,99.91,1071
AFUB_002360,549,scf_000001_A_fumigatus_A1163,661975,662882,+,Afu1g01980,99.82,549
AFUB_002370,1548,scf_000001_A_fumigatus_A1163,663051,664779,-,Afu1g01990,100.00,1548
AFUB_002380,2523,scf_000001_A_fumigatus_A1163,664981,667875,+,Afu1g02000,99.84,2523
AFUB_002390,2367,scf_000001_A_fumigatus_A1163,668013,670948,-,Afu1g02010,100.00,2367
AFUB_002400,855,scf_000001_A_fumigatus_A1163,671152,673060,-,Afu1g02020,99.77,855
AFUB_002410,2223,scf_000001_A_fumigatus_A1163,673450,675874,+,Afu1g02030,99.96,2223
AFUB_002420,789,scf_000001_A_fumigatus_A1163,676198,677046,-,Afu1g02040,100.00,789
AFUB_002430,2661,scf_000001_A_fumigatus_A1163,677616,680842,-,Afu1g02050,100.00,2661
AFUB_002440,1395,scf_000001_A_fumigatus_A1163,681073,683084,+,Afu1g02060,99.21,757
AFUB_002450,960,scf_000001_A_fumigatus_A1163,683713,685034,+,Afu1g02070,100.00,960
AFUB_002460,1170,scf_000001_A_fumigatus_A1163,685497,686666,-,Afu1g02080,99.91,1170
AFUB_002470,1026,scf_000001_A_fumigatus_A1163,686958,688381,-,Afu1g02090,100.00,1026
AFUB_002480,3606,scf_000001_A_fumigatus_A1163,689564,693929,+,Afu1g02100,99.94,3606
AFUB_002490,1131,scf_000001_A_fumigatus_A1163,694346,696459,+,Afu1g02110,100.00,1131
AFUB_002500,2127,scf_000001_A_fumigatus_A1163,696897,700744,-,Afu1g02120,99.86,2127
AFUB_002510,2508,scf_000001_A_fumigatus_A1163,701452,704804,-,Afu1g02130,99.96,2508
AFUB_002520,4839,scf_000001_A_fumigatus_A1163,704910,710054,-,Afu1g02140,99.96,4839
AFUB_002530,1560,scf_000001_A_fumigatus_A1163,710347,712256,-,Afu1g02150,99.94,1560
AFUB_002540,702,scf_000001_A_fumigatus_A1163,712331,713385,+,Afu1g02160,100.00,702
AFUB_002550,1917,scf_000001_A_fumigatus_A1163,713940,716144,+,Afu1g02170,99.95,1917
AFUB_002560,3570,scf_000001_A_fumigatus_A1163,716517,720416,-,Afu1g02180,99.55,2656
AFUB_002570,615,scf_000001_A_fumigatus_A1163,721400,722652,+,Afu1g02190,99.34,608
AFUB_002580,1074,scf_000001_A_fumigatus_A1163,723333,724951,-,Afu1g02200,100.00,1074
AFUB_002590,1071,scf_000001_A_fumigatus_A1163,725108,726592,-,Afu1g02210,100.00,1071
AFUB_002600,312,scf_000001_A_fumigatus_A1163,727520,728088,+,Afu1g02220,99.68,312
AFUB_002610,480,scf_000001_A_fumigatus_A1163,728699,729315,-,Afu1g02230,99.79,480
AFUB_002620,759,scf_000001_A_fumigatus_A1163,730454,731272,-,Afu1g02240,99.87,759
AFUB_002630,660,scf_000001_A_fumigatus_A1163,732574,733301,+,Afu1g02250,100.00,660
AFUB_002640,567,scf_000001_A_fumigatus_A1163,734054,734687,+,Afu1g02255,99.82,567
AFUB_002650,471,scf_000001_A_fumigatus_A1163,735530,736108,+,Afu1g02260,100.00,471
AFUB_002660,2343,scf_000001_A_fumigatus_A1163,736379,739374,-,Afu1g02270,100.00,2343
AFUB_002670,2115,scf_000001_A_fumigatus_A1163,739896,742010,+,Afu1g02280,99.95,2115
AFUB_002680,321,scf_000001_A_fumigatus_A1163,742541,742920,-,Afu1g02290,100.00,321
AFUB_002690,423,scf_000001_A_fumigatus_A1163,747777,748242,+,Afu1g02300,96.17,183
AFUB_002700,678,scf_000001_A_fumigatus_A1163,748716,749724,-,Afu1g02310,99.26,678
AFUB_002710,690,scf_000001_A_fumigatus_A1163,750997,751686,+,Afu1g02320,99.28,690
AFUB_002720,915,scf_000001_A_fumigatus_A1163,752258,753293,-,Afu1g02330,99.78,915
AFUB_002730,1335,scf_000001_A_fumigatus_A1163,754741,756075,+,Afu1g02340,99.63,1335
AFUB_002740,1737,scf_000001_A_fumigatus_A1163,758536,761153,-,Afu1g02360,99.54,1737
AFUB_002750,1608,scf_000001_A_fumigatus_A1163,762156,764731,+,Afu1g02350,99.75,1608
AFUB_002760,888,scf_000001_A_fumigatus_A1163,765594,766954,-,Afu1g02370,99.77,888
