QNAME,LENGTH,CHROM,START,STOP,STRAND
AFUB_049910,996,scf_000004_A_fumigatus_A1163,286929,288273,+
AFUB_049920,972,scf_000004_A_fumigatus_A1163,288503,289550,-
AFUB_049930,1830,scf_000004_A_fumigatus_A1163,290563,292512,+
AFUB_050590,342,scf_000004_A_fumigatus_A1163,462394,462857,+
AFUB_052510,270,scf_000004_A_fumigatus_A1163,998874,999351,-
AFUB_053940,639,scf_000004_A_fumigatus_A1163,1447973,1448822,+
AFUB_054010,513,scf_000004_A_fumigatus_A1163,1476665,1477468,+
AFUB_055770,414,scf_000004_A_fumigatus_A1163,1988289,1988788,-
AFUB_056650,393,scf_000004_A_fumigatus_A1163,2241850,2242320,+
AFUB_057000,447,scf_000004_A_fumigatus_A1163,2335189,2335995,+
AFUB_057450,1137,scf_000004_A_fumigatus_A1163,2454802,2456110,+
AFUB_057930,399,scf_000004_A_fumigatus_A1163,2544948,2545346,+
AFUB_058000,336,scf_000004_A_fumigatus_A1163,2560391,2560801,+
AFUB_059030,285,scf_000004_A_fumigatus_A1163,2846869,2847434,+
AFUB_061130,369,scf_000004_A_fumigatus_A1163,3442848,3443265,-
AFUB_061420,642,scf_000004_A_fumigatus_A1163,3509001,3509938,+
AFUB_061450,378,scf_000004_A_fumigatus_A1163,3516965,3517593,+
AFUB_061760,297,scf_000004_A_fumigatus_A1163,3586718,3587014,+
AFUB_061930,429,scf_000004_A_fumigatus_A1163,3615206,3615795,+
AFUB_062120,195,scf_000004_A_fumigatus_A1163,3658721,3658915,+
AFUB_062160,327,scf_000004_A_fumigatus_A1163,3669340,3669770,-
AFUB_062590,1158,scf_000004_A_fumigatus_A1163,3788176,3789475,+
AFUB_062600,309,scf_000004_A_fumigatus_A1163,3789991,3790426,-
AFUB_062910,393,scf_000005_A_fumigatus_A1163,36361,36781,+
AFUB_063790,201,scf_000005_A_fumigatus_A1163,284100,284395,+
AFUB_064070,1104,scf_000005_A_fumigatus_A1163,358849,360443,+
AFUB_064940,234,scf_000005_A_fumigatus_A1163,597289,597805,+
AFUB_066510,1884,scf_000005_A_fumigatus_A1163,1008840,1010723,+
AFUB_066520,1743,scf_000005_A_fumigatus_A1163,1012062,1013804,-
AFUB_067220,399,scf_000005_A_fumigatus_A1163,1176644,1177205,-
AFUB_068040,207,scf_000005_A_fumigatus_A1163,1424446,1424965,+
AFUB_070290,642,scf_000005_A_fumigatus_A1163,2066367,2067861,-
AFUB_070340,474,scf_000005_A_fumigatus_A1163,2075132,2075966,+
AFUB_070660,387,scf_000005_A_fumigatus_A1163,2160677,2161462,+
AFUB_070670,531,scf_000005_A_fumigatus_A1163,2161810,2162641,+
AFUB_070970,2364,scf_000005_A_fumigatus_A1163,2235271,2237866,+
AFUB_070980,645,scf_000005_A_fumigatus_A1163,2238206,2239022,+
AFUB_071020,621,scf_000005_A_fumigatus_A1163,2254072,2254831,+
AFUB_071040,702,scf_000005_A_fumigatus_A1163,2260633,2261604,+
AFUB_071050,1443,scf_000005_A_fumigatus_A1163,2262446,2263949,+
AFUB_071070,1266,scf_000005_A_fumigatus_A1163,2268419,2270122,+
AFUB_071080,678,scf_000005_A_fumigatus_A1163,2271501,2272301,+
AFUB_071090,837,scf_000005_A_fumigatus_A1163,2273606,2274821,-
AFUB_071100,831,scf_000005_A_fumigatus_A1163,2275709,2276681,+
AFUB_071110,417,scf_000005_A_fumigatus_A1163,2277203,2278296,-
AFUB_071130,1392,scf_000005_A_fumigatus_A1163,2280643,2283134,-
AFUB_071140,450,scf_000005_A_fumigatus_A1163,2285628,2286187,+
AFUB_071150,852,scf_000005_A_fumigatus_A1163,2286256,2287107,-
AFUB_071160,1896,scf_000005_A_fumigatus_A1163,2287424,2290152,-
AFUB_071480,747,scf_000005_A_fumigatus_A1163,2391964,2392742,+
AFUB_071500,1428,scf_000005_A_fumigatus_A1163,2402118,2404024,-
AFUB_071510,1461,scf_000005_A_fumigatus_A1163,2405880,2407686,-
AFUB_071520,1005,scf_000005_A_fumigatus_A1163,2408082,2409292,+
AFUB_071530,822,scf_000005_A_fumigatus_A1163,2409729,2410823,-
AFUB_071580,939,scf_000005_A_fumigatus_A1163,2442075,2443563,+
AFUB_071630,2250,scf_000005_A_fumigatus_A1163,2467852,2470101,+
AFUB_071640,1545,scf_000005_A_fumigatus_A1163,2471007,2472551,-
AFUB_071970,303,scf_000005_A_fumigatus_A1163,2577385,2577811,+
AFUB_072925,675,scf_000006_A_fumigatus_A1163,213030,214781,-
AFUB_073180,276,scf_000006_A_fumigatus_A1163,280864,281221,+
AFUB_073200,1107,scf_000006_A_fumigatus_A1163,283280,284766,-
AFUB_073250,372,scf_000006_A_fumigatus_A1163,298410,298880,+
AFUB_073400,462,scf_000006_A_fumigatus_A1163,333068,333582,+
AFUB_073820,516,scf_000006_A_fumigatus_A1163,462765,463484,-
AFUB_073880,294,scf_000006_A_fumigatus_A1163,480069,481079,+
AFUB_075270,1938,scf_000006_A_fumigatus_A1163,893178,896365,-
AFUB_075280,1023,scf_000006_A_fumigatus_A1163,898289,899518,+
AFUB_075290,1023,scf_000006_A_fumigatus_A1163,901554,903159,-
AFUB_075350,987,scf_000006_A_fumigatus_A1163,923617,924756,+
AFUB_075375,1809,scf_000006_A_fumigatus_A1163,929866,932003,+
AFUB_075390,1104,scf_000006_A_fumigatus_A1163,933566,934921,+
AFUB_075430,1893,scf_000006_A_fumigatus_A1163,949135,951617,-
AFUB_075450,930,scf_000006_A_fumigatus_A1163,968509,969758,+
AFUB_075460,2895,scf_000006_A_fumigatus_A1163,971761,975254,+
AFUB_075470,1482,scf_000006_A_fumigatus_A1163,977210,978691,-
AFUB_075480,525,scf_000006_A_fumigatus_A1163,978961,979550,+
AFUB_075490,5046,scf_000006_A_fumigatus_A1163,979612,984764,+
AFUB_075510,1746,scf_000006_A_fumigatus_A1163,995503,997440,-
AFUB_075520,1296,scf_000006_A_fumigatus_A1163,997687,998982,+
AFUB_075540,285,scf_000006_A_fumigatus_A1163,1002800,1003251,-
AFUB_075560,339,scf_000006_A_fumigatus_A1163,1018654,1019743,+
AFUB_075890,315,scf_000006_A_fumigatus_A1163,1115933,1116298,+
AFUB_076110,1722,scf_000006_A_fumigatus_A1163,1174728,1176449,+
AFUB_076120,1974,scf_000006_A_fumigatus_A1163,1177072,1179252,+
AFUB_077100,336,scf_000006_A_fumigatus_A1163,1415913,1416333,+
AFUB_077570,390,scf_000006_A_fumigatus_A1163,1556338,1557558,+
AFUB_077680,843,scf_000006_A_fumigatus_A1163,1580410,1581466,-
AFUB_077700,417,scf_000006_A_fumigatus_A1163,1586803,1587256,-
AFUB_077790,1056,scf_000006_A_fumigatus_A1163,1621307,1622738,-
AFUB_078220,339,scf_000006_A_fumigatus_A1163,1758717,1759108,-
AFUB_078960,495,scf_000006_A_fumigatus_A1163,1961724,1962267,+
AFUB_079190,378,scf_000006_A_fumigatus_A1163,2027848,2028291,+
AFUB_079370,384,scf_000006_A_fumigatus_A1163,2073973,2074356,-
AFUB_079730,852,scf_000006_A_fumigatus_A1163,2153747,2154649,-
AFUB_079750,1821,scf_000006_A_fumigatus_A1163,2157651,2159656,-
AFUB_079770,861,scf_000006_A_fumigatus_A1163,2163753,2164613,-
AFUB_079790,882,scf_000006_A_fumigatus_A1163,2168137,2169346,-
AFUB_079800,795,scf_000006_A_fumigatus_A1163,2169677,2170865,+
AFUB_079810,1896,scf_000006_A_fumigatus_A1163,2171308,2173517,+
AFUB_079860,1749,scf_000006_A_fumigatus_A1163,2180618,2182557,-
AFUB_079880,255,scf_000006_A_fumigatus_A1163,2187035,2187341,+
AFUB_079900,1572,scf_000006_A_fumigatus_A1163,2191221,2193000,+
AFUB_079910,702,scf_000006_A_fumigatus_A1163,2205723,2206578,+
AFUB_080010,2280,scf_000007_A_fumigatus_A1163,5126,7690,+
AFUB_080020,519,scf_000007_A_fumigatus_A1163,10143,10661,+
AFUB_080030,786,scf_000007_A_fumigatus_A1163,11392,12286,+
AFUB_080070,678,scf_000007_A_fumigatus_A1163,33810,34661,-
AFUB_080080,1230,scf_000007_A_fumigatus_A1163,35133,37022,-
AFUB_080090,1425,scf_000007_A_fumigatus_A1163,37617,39041,-
AFUB_080100,249,scf_000007_A_fumigatus_A1163,39879,40322,+
AFUB_080110,1863,scf_000007_A_fumigatus_A1163,40815,42849,-
AFUB_080125,4632,scf_000007_A_fumigatus_A1163,45472,50518,+
AFUB_080140,1293,scf_000007_A_fumigatus_A1163,54072,55364,+
AFUB_080150,381,scf_000007_A_fumigatus_A1163,67968,68348,+
AFUB_080170,1518,scf_000007_A_fumigatus_A1163,71327,73827,+
AFUB_080180,2244,scf_000007_A_fumigatus_A1163,76829,80076,-
AFUB_080250,459,scf_000007_A_fumigatus_A1163,131177,131818,-
AFUB_080260,1179,scf_000007_A_fumigatus_A1163,145214,146522,-
AFUB_080270,2868,scf_000007_A_fumigatus_A1163,148633,151809,+
AFUB_080280,630,scf_000007_A_fumigatus_A1163,153815,154572,+
AFUB_080290,423,scf_000007_A_fumigatus_A1163,154660,155154,+
AFUB_080300,1395,scf_000007_A_fumigatus_A1163,164780,166644,+
AFUB_080310,516,scf_000007_A_fumigatus_A1163,166857,167465,-
AFUB_080340,336,scf_000007_A_fumigatus_A1163,179897,180276,+
AFUB_080580,303,scf_000007_A_fumigatus_A1163,255296,255816,-
AFUB_080610,225,scf_000007_A_fumigatus_A1163,262770,263112,+
AFUB_081000,366,scf_000007_A_fumigatus_A1163,368566,369008,+
AFUB_081060,366,scf_000007_A_fumigatus_A1163,386546,386911,+
AFUB_081220,576,scf_000007_A_fumigatus_A1163,439835,440550,+
AFUB_081280,300,scf_000007_A_fumigatus_A1163,454299,454708,+
AFUB_081410,576,scf_000007_A_fumigatus_A1163,484732,485667,+
AFUB_083390,495,scf_000007_A_fumigatus_A1163,1012580,1014029,+
AFUB_083540,426,scf_000007_A_fumigatus_A1163,1071738,1072326,-
AFUB_084920,372,scf_000007_A_fumigatus_A1163,1511538,1512130,+
AFUB_085350,549,scf_000007_A_fumigatus_A1163,1653180,1653925,-
AFUB_086120,633,scf_000007_A_fumigatus_A1163,1848309,1849108,-
AFUB_086620,468,scf_000008_A_fumigatus_A1163,10631,11098,-
AFUB_086630,582,scf_000008_A_fumigatus_A1163,12414,13097,+
AFUB_086640,963,scf_000008_A_fumigatus_A1163,16417,17772,-
AFUB_086760,744,scf_000008_A_fumigatus_A1163,56657,57580,+
AFUB_087100,288,scf_000008_A_fumigatus_A1163,142637,142932,-
AFUB_087530,339,scf_000008_A_fumigatus_A1163,257783,258207,+
AFUB_088130,552,scf_000008_A_fumigatus_A1163,406913,407625,+
AFUB_089610,915,scf_000008_A_fumigatus_A1163,911246,912913,+
AFUB_091640,441,scf_000008_A_fumigatus_A1163,1490715,1491229,+
AFUB_091910,660,scf_000008_A_fumigatus_A1163,1561477,1562315,+
AFUB_092110,402,scf_000008_A_fumigatus_A1163,1598078,1598694,-
AFUB_092210,378,scf_000008_A_fumigatus_A1163,1620097,1620524,+
AFUB_092560,792,scf_000008_A_fumigatus_A1163,1725111,1725960,+
AFUB_092590,897,scf_000008_A_fumigatus_A1163,1748087,1749158,+
AFUB_092660,885,scf_000008_A_fumigatus_A1163,1771367,1772251,+
AFUB_096570,1329,scf_000009_A_fumigatus_A1163,1074938,1077469,+
AFUB_096600,1047,scf_000009_A_fumigatus_A1163,1083835,1085310,+
AFUB_096680,771,scf_000009_A_fumigatus_A1163,1113131,1114122,-
AFUB_096690,2220,scf_000009_A_fumigatus_A1163,1120892,1123442,-
AFUB_096770,399,scf_000009_A_fumigatus_A1163,1154232,1154678,+
AFUB_096880,501,scf_000009_A_fumigatus_A1163,1183941,1184479,-
AFUB_096890,903,scf_000009_A_fumigatus_A1163,1186218,1187493,+
AFUB_097100,321,scf_000009_A_fumigatus_A1163,1232431,1233083,+
AFUB_097350,396,scf_000009_A_fumigatus_A1163,1293303,1293788,+
AFUB_097400,1920,scf_000009_A_fumigatus_A1163,1311905,1314060,+
AFUB_097410,480,scf_000009_A_fumigatus_A1163,1316571,1317080,+
AFUB_097430,414,scf_000009_A_fumigatus_A1163,1330249,1330798,-
AFUB_097440,438,scf_000009_A_fumigatus_A1163,1331462,1331956,+
AFUB_097450,1383,scf_000009_A_fumigatus_A1163,1332036,1333685,-
AFUB_097460,675,scf_000009_A_fumigatus_A1163,1333830,1334775,-
AFUB_097470,792,scf_000009_A_fumigatus_A1163,1335101,1335892,+
AFUB_097500,789,scf_000009_A_fumigatus_A1163,1349904,1351199,-
AFUB_097560,1308,scf_000009_A_fumigatus_A1163,1368949,1370539,-
AFUB_097570,1482,scf_000009_A_fumigatus_A1163,1379598,1381437,+
AFUB_097590,1209,scf_000009_A_fumigatus_A1163,1384674,1386047,+
AFUB_097620,537,scf_000009_A_fumigatus_A1163,1398018,1398616,+
AFUB_097630,513,scf_000009_A_fumigatus_A1163,1401374,1402086,+
AFUB_097660,303,scf_000009_A_fumigatus_A1163,1420488,1420877,+
AFUB_097690,501,scf_000009_A_fumigatus_A1163,1431268,1431821,+
AFUB_097770,588,scf_000009_A_fumigatus_A1163,1462239,1462869,+
AFUB_097785,2496,scf_000009_A_fumigatus_A1163,1465663,1468786,+
AFUB_097800,759,scf_000009_A_fumigatus_A1163,1469731,1470543,+
AFUB_097810,1458,scf_000009_A_fumigatus_A1163,1470617,1472804,+
AFUB_097820,393,scf_000009_A_fumigatus_A1163,1473100,1473546,+
AFUB_097830,780,scf_000009_A_fumigatus_A1163,1473744,1475041,+
AFUB_097840,336,scf_000009_A_fumigatus_A1163,1475760,1476145,+
AFUB_097860,423,scf_000009_A_fumigatus_A1163,1486582,1487255,+
AFUB_097880,513,scf_000009_A_fumigatus_A1163,1495322,1495934,+
AFUB_097890,573,scf_000009_A_fumigatus_A1163,1502641,1503213,-
AFUB_097900,1041,scf_000009_A_fumigatus_A1163,1503368,1504610,-
AFUB_098070,678,scf_000009_A_fumigatus_A1163,1569314,1570179,+
AFUB_098210,318,scf_000010_A_fumigatus_A1163,20115,20552,+
AFUB_098220,312,scf_000010_A_fumigatus_A1163,20919,21290,-
AFUB_099800,1392,scf_000010_A_fumigatus_A1163,438549,440150,+
AFUB_099820,1065,scf_000010_A_fumigatus_A1163,443858,445139,+
AFUB_099860,354,scf_000010_A_fumigatus_A1163,454955,455308,+
AFUB_099920,300,scf_000010_A_fumigatus_A1163,471218,471708,-
AFUB_100330,174,scf_000010_A_fumigatus_A1163,587730,588005,+
AFUB_100340,1041,scf_000010_A_fumigatus_A1163,592471,593809,+
AFUB_100450,669,scf_000010_A_fumigatus_A1163,623415,624202,+
AFUB_100480,1056,scf_000010_A_fumigatus_A1163,636823,637977,-
AFUB_100830,360,scf_000011_A_fumigatus_A1163,86200,86749,-
AFUB_100870,405,scf_000011_A_fumigatus_A1163,95424,95997,+
AFUB_101350,783,scf_000011_A_fumigatus_A1163,258331,259176,-
AFUB_102000,936,scf_000011_A_fumigatus_A1163,434263,435198,+
AFUB_102040,498,scf_000011_A_fumigatus_A1163,448476,449044,+
AFUB_102200,2340,scf_000012_A_fumigatus_A1163,11103,13667,+
AFUB_102210,1203,scf_000012_A_fumigatus_A1163,20684,21947,+
AFUB_102220,537,scf_000012_A_fumigatus_A1163,23215,23844,+
AFUB_102230,1152,scf_000012_A_fumigatus_A1163,27118,28464,-
AFUB_102360,456,scf_000014_A_fumigatus_A1163,15203,15773,+
AFUB_102760,1812,scf_000020_A_fumigatus_A1163,665,2699,+
AFUB_102860,537,scf_000032_A_fumigatus_A1163,91,689,+
AFUB_102960,642,scf_000045_A_fumigatus_A1163,149,905,-
